time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1319.81,2080.13,1774.5,1170.56,3153,1037.44,1716.56,1209.94
2,1320.19,2081.25,1773.94,1171.69,3154.13,1037.81,1718.63,1209.94
3,1319.06,2080.69,1772.06,1171.69,3154.13,1036.88,1719.56,1208.63
4,1318.13,2081.63,1771.5,1172.25,3154.88,1036.31,1720.31,1208.06
5,1315.88,2081.25,1769.63,1172.25,3153.75,1034.44,1719.94,1205.81
6,1314,2081.25,1768.31,1172.25,3153.56,1032.94,1719.38,1203.38
7,1312.5,2082.19,1767.75,1172.63,3155.25,1031.44,1719.94,1202.25
8,1311,2083.13,1767.56,1172.81,3155.81,1030.31,1719.94,1200.38
9,1309.13,2082.75,1765.88,1172.63,3155.25,1028.81,1719.75,1198.88
10,1307.63,2083.31,1765.31,1172.81,3156.19,1027.69,1720.31,1197.38
11,1305.56,2083.69,1764.19,1172.25,3157.31,1026,1719.94,1195.5
12,1304.63,2085,1763.81,1172.63,3156.75,1025.06,1720.13,1194.56
13,1303.31,2085.19,1762.69,1173.38,3156.75,1023.94,1720.31,1192.88
14,1303.5,2086.5,1763.25,1174.31,3159.19,1024.13,1722.38,1193.06
15,1302.75,2086.69,1762.13,1173.75,3158.81,1023.19,1722.94,1192.31
16,1302.38,2087.81,1761.94,1174.5,3161.06,1023.38,1724.63,1191.94
17,1301.63,2088,1760.63,1175.81,3161.25,1022.81,1725.75,1191.38
18,1300.88,2088.56,1760.06,1176.19,3162,1022.25,1726.5,1190.63
19,1300.13,2090.06,1759.88,1176.19,3163.31,1021.69,1727.25,1189.88
20,1299.19,2089.69,1758.56,1176.19,3163.31,1020.94,1728.19,1188.94
21,1298.63,2090.81,1758.38,1177.88,3164.63,1020.37,1729.31,1188.38
22,1291.69,2085.38,1753.13,1174.13,3156.38,1014.56,1721.63,1181.44
23,1286.44,2085.38,1752.94,1171.69,3155.63,1009.88,1716.38,1176.38
24,1282.69,2085.75,1752.94,1170.56,3155.25,1006.88,1713.56,1173.19
25,1279.88,2085.75,1752.56,1170.56,3154.88,1004.44,1711.88,1170.56
26,1277.81,2085.94,1752.38,1169.63,3154.69,1002.75,1710.75,1168.88
27,1276.5,2086.31,1752.19,1168.88,3154.69,1001.44,1710.19,1167.56
28,1275,2086.5,1751.63,1168.69,3154.31,1000.69,1710.38,1166.81
29,1273.88,2086.13,1751.25,1169.25,3154.13,999.75,1710,1165.69
30,1272.75,2086.13,1750.88,1168.88,3153.75,999,1710,1164.75
31,1271.63,2086.31,1750.69,1168.13,3153.75,998.25,1709.81,1164
32,1270.69,2086.13,1750.13,1167.94,3153.56,997.69,1710,1163.25
33,1270.13,2085.94,1749.75,1168.69,3153.56,997.12,1710.19,1162.69
34,1269.38,2085.94,1749.19,1168.69,3153.56,996.56,1710.38,1162.13
35,1268.63,2085.94,1749.19,1167.94,3153.75,996.19,1710,1161.56
