time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1152.94,2132.81,2028.37,1200.75,3265.88,900.19,1724.81,1085.81
2,1153.13,2133.75,2028.94,1201.13,3266.63,900.19,1724.81,1086.19
3,1153.5,2133.38,2029.13,1200.19,3266.25,900.19,1724.81,1086
4,1153.69,2133.19,2029.31,1200.94,3266.63,900.56,1724.81,1086.38
5,1154.06,2132.81,2029.5,1200.94,3266.25,900.56,1724.81,1086.38
6,1154.06,2132.81,2029.5,1200,3266.25,900.75,1724.25,1086.56
7,1154.25,2133.19,2030.06,1200.19,3266.25,900.75,1724.44,1086.75
8,1154.63,2133,2030.06,1200.75,3266.44,900.94,1724.44,1086.75
9,1154.81,2133,2030.06,1200.56,3266.25,901.12,1724.44,1086.75
10,1154.81,2133,2030.25,1200,3266.06,901.12,1724.25,1086.94
11,1155.56,2133.56,2031,1200.19,3266.44,901.31,1724.63,1087.31
12,1155.56,2132.81,2030.44,1200.75,3266.25,901.5,1724.63,1087.13
13,1155.56,2133,2030.63,1200.75,3266.25,901.31,1724.63,1087.13
14,1155.75,2132.81,2030.63,1200.19,3266.25,901.31,1725,1087.13
15,1155.94,2133.56,2031.19,1200.38,3266.63,901.31,1724.81,1086.94
16,1156.13,2132.63,2030.44,1200.94,3266.25,901.12,1725,1086.75
17,1156.13,2133.19,2030.81,1200.94,3266.25,901.12,1724.81,1086.75
18,1155.75,2132.44,2030.06,1200.19,3265.69,900.75,1724.63,1086.19
19,1155.38,2133,2030.44,1200.19,3265.5,900.37,1723.88,1085.81
20,1155.38,2132.63,2030.06,1200.56,3265.69,900.19,1724.25,1085.63
21,1155.19,2132.63,2030.06,1200.38,3265.5,900,1723.88,1085.44
22,1155,2132.63,2030.06,1200.19,3265.88,899.81,1724.06,1085.44
23,1155,2133.19,2030.06,1200,3265.69,899.81,1724.25,1085.06
24,1155,2133,2029.69,1200.56,3265.69,899.81,1724.25,1085.25
25,1154.81,2133,2029.5,1200.38,3265.88,899.62,1724.06,1084.69
26,1154.63,2133,2029.5,1200,3265.88,899.25,1723.88,1084.5
27,1154.63,2133.56,2029.5,1200,3265.69,899.25,1723.88,1084.5
28,1154.44,2132.81,2028.94,1200.56,3265.88,899.25,1723.88,1084.13
29,1154.44,2133,2028.94,1200.56,3265.88,899.06,1724.06,1084.13
30,1154.06,2133,2028.56,1199.81,3265.5,898.87,1723.69,1083.75
31,1153.88,2133.38,2028.75,1200,3265.69,898.5,1723.69,1083.38
32,1153.88,2133,2028,1200.56,3265.69,898.12,1723.88,1083
33,1153.5,2133.19,2028,1200.38,3265.69,897.94,1723.69,1082.81
34,1153.5,2133,2027.63,1200,3265.88,897.75,1724.06,1082.44
35,1153.31,2133.56,2027.63,1200,3266.06,897.56,1724.06,1082.25
36,1152.94,2133.19,2027.06,1200.75,3265.88,897.37,1724.06,1081.69
37,1152.75,2133.38,2027.06,1200.56,3266.06,897,1724.06,1081.5
38,1152.38,2133.19,2026.31,1200,3265.69,896.81,1723.88,1081.13
39,1152,2133.56,2026.31,1199.81,3265.69,896.62,1723.69,1080.94
40,1151.63,2133,2025.75,1200.75,3265.31,896.06,1723.13,1080.38
41,1151.25,2133.19,2025.38,1200.56,3265.69,895.88,1723.5,1080.19
42,1151.25,2133.56,2025.38,1200.19,3266.06,895.88,1724.25,1080.19
43,1151.25,2133.94,2025.56,1200.38,3266.25,895.69,1723.88,1080
44,1151.06,2133.94,2025,1200.75,3266.44,895.88,1724.25,1080
45,1151.06,2133.94,2024.63,1200.94,3266.44,895.88,1724.63,1080
46,1150.88,2133.56,2024.06,1200.38,3266.25,895.31,1724.44,1079.25
