time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1641.56,1930.69,2161.5,1096.88,3087.56,1360.31,1592.63,1603.13
2,1638,1930.31,2158.31,1097.06,3087.19,1356.19,1592.44,1597.5
3,1634.63,1929.94,2155.13,1096.5,3087,1352.25,1592.44,1591.88
4,1630.69,1929.94,2151.56,1097.25,3086.81,1347.94,1592.44,1586.25
5,1626.94,1929.75,2148.19,1097.06,3086.63,1344,1592.25,1580.81
6,1622.81,1929.75,2145,1096.31,3086.25,1339.88,1591.88,1575.38
7,1619.06,1929.94,2141.81,1096.5,3086.06,1335.56,1591.69,1570.13
8,1615.31,1929.94,2139,1096.69,3085.88,1331.81,1591.5,1565.06
9,1611.75,1929.94,2135.25,1096.69,3085.5,1327.88,1591.31,1560
10,1608.19,1930.13,2132.25,1096.31,3085.31,1324.31,1591.31,1555.31
11,1604.81,1930.31,2128.88,1096.31,3085.13,1320.75,1591.13,1550.63
12,1601.25,1930.13,2125.31,1096.69,3084.56,1317.19,1591.13,1546.13
13,1597.5,1930.31,2121.94,1096.69,3084.19,1313.63,1591.13,1541.63
14,1594.13,1930.13,2118.94,1095.94,3084.19,1310.25,1590.94,1537.31
15,1590.75,1930.5,2115.75,1095.75,3083.81,1306.69,1590.75,1533
16,1587.38,1930.31,2112.38,1096.5,3083.63,1303.31,1590.56,1528.88
17,1584,1930.31,2109.19,1096.31,3083.44,1299.94,1590.56,1524.75
18,1580.81,1930.5,2106.19,1095.56,3083.44,1296.75,1590.38,1520.44
19,1577.25,1930.88,2103.19,1095.75,3083.25,1293.38,1590.19,1516.5
20,1574.06,1930.69,2099.63,1096.31,3082.69,1290,1590.19,1512.56
21,1570.69,1930.88,2096.44,1096.13,3082.5,1286.63,1590,1508.44
22,1567.31,1931.06,2093.06,1095.56,3082.13,1283.25,1589.63,1504.5
23,1563.75,1931.44,2090.25,1095.56,3082.13,1279.88,1589.25,1500.38
24,1560.56,1931.06,2086.88,1096.13,3081.75,1276.88,1589.25,1496.63
25,1557.38,1931.44,2083.69,1095.94,3081.38,1273.69,1589.06,1492.88
26,1554.19,1931.63,2080.5,1095.38,3081.19,1270.31,1588.88,1489.13
27,1550.81,1931.81,2077.5,1095.19,3080.81,1267.31,1588.5,1485.19
28,1547.44,1931.63,2074.13,1095.94,3081,1264.13,1588.5,1481.81
29,1544.25,1931.63,2070.75,1095.75,3080.44,1260.75,1588.13,1477.88
30,1540.88,1931.81,2067.94,1095.19,3080.06,1257.75,1587.75,1474.13
31,1537.88,1932.19,2064.75,1095,3080.06,1254.75,1587.75,1470.56
32,1534.69,1932.19,2061.56,1095.56,3079.69,1251.56,1587.75,1467
33,1531.5,1932.19,2058.38,1095.38,3079.31,1248.56,1587.56,1463.44
34,1528.69,1932.38,2055.19,1094.81,3078.94,1245.75,1587.38,1459.88
35,1525.69,1932.75,2052.38,1094.63,3078.94,1242.94,1587.19,1456.69
36,1522.69,1932.56,2049.19,1095.38,3078.94,1240.31,1587.38,1453.31
37,1519.69,1932.75,2046.19,1095.19,3078.56,1237.5,1587.19,1449.94
38,1516.88,1932.56,2043.38,1094.63,3078.38,1234.69,1587,1446.56
39,1514.06,1932.94,2040.56,1094.63,3078,1231.88,1586.63,1443.75
40,1511.44,1932.75,2037.56,1095,3077.81,1229.06,1586.81,1440.38
41,1508.63,1932.94,2034.94,1095.19,3077.44,1226.44,1586.63,1437.38
42,1505.81,1932.75,2031.94,1094.25,3077.25,1223.81,1586.44,1434.38
43,1503.19,1933.13,2029.5,1094.44,3077.25,1221.38,1586.44,1431.19
44,1500.56,1933.13,2026.31,1095,3076.69,1218.56,1586.44,1428.38
45,1497.75,1933.13,2023.5,1095,3076.5,1216.31,1586.06,1425.38
46,1495.13,1933.13,2020.88,1094.25,3076.5,1213.69,1586.25,1422.38
47,1492.5,1933.5,2018.44,1094.25,3076.13,1211.06,1586.06,1419.38
48,1489.88,1933.5,2015.63,1094.63,3075.75,1208.63,1585.88,1416.56
49,1487.06,1933.5,2013,1094.63,3075.75,1206.19,1585.88,1413.56
50,1484.63,1933.5,2010.38,1094.06,3075.56,1203.75,1585.69,1410.94
51,1482.19,1933.88,2008.13,1094.25,3075.38,1201.31,1585.69,1408.13
52,1479.56,1934.06,2005.13,1095,3075,1198.88,1585.88,1405.5
53,1477.31,1934.06,2002.69,1094.81,3075.38,1196.63,1585.69,1402.69
54,1474.69,1934.25,2000.25,1094.25,3075.19,1194.38,1585.88,1400.06
55,1472.25,1934.44,1998,1094.25,3074.81,1191.94,1585.69,1397.25
56,1469.81,1934.44,1995.19,1095,3074.44,1189.5,1585.69,1394.81
57,1467.38,1934.44,1992.75,1094.81,3074.44,1187.25,1585.69,1392
58,1464.94,1934.44,1990.31,1094.25,3074.25,1185,1585.5,1389.56
59,1462.88,1935,1988.25,1094.44,3074.25,1182.94,1585.5,1387.13
60,1460.25,1934.81,1985.63,1095.19,3074.25,1180.88,1585.69,1384.69
61,1457.81,1935,1983.38,1095,3074.06,1178.63,1585.5,1382.25
62,1455.38,1935.19,1980.94,1094.25,3073.88,1176.38,1585.31,1379.63
63,1453.13,1935.19,1978.69,1094.44,3073.69,1174.31,1584.94,1377.19
64,1451.06,1935.19,1976.06,1095,3073.31,1172.06,1584.94,1374.94
