time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1218.56,2153.44,1831.5,1208.81,3228.75,966.19,1773.38,1139.06
2,1218.94,2154,1831.69,1209.38,3229.13,966.56,1774.13,1139.25
3,1219.69,2155.13,1832.25,1210.13,3230.25,967.12,1775.63,1139.81
4,1220.06,2155.13,1832.25,1210.31,3231,967.5,1776.19,1140.38
5,1226.81,2162.44,1837.31,1215.19,3241.88,973.12,1786.31,1146.56
6,1233.19,2165.63,1837.88,1219.31,3242.63,978.94,1795.31,1152.75
7,1237.13,2166.56,1837.69,1221.75,3247.69,982.31,1801.31,1156.5
8,1239.19,2167.69,1836.94,1223.44,3248.81,984.19,1804.5,1158
9,1239.94,2168.63,1836.56,1224.75,3250.31,984.56,1806.56,1158.38
10,1240.31,2170.13,1836.19,1226.06,3251.25,984.75,1807.13,1158.56
11,1240.5,2171.63,1836.38,1226.25,3253.31,984.56,1808.06,1158.19
12,1234.13,2167.5,1832.06,1223.44,3245.81,978.94,1800,1151.63
13,1236.75,2174.44,1836.94,1226.63,3254.63,981,1803.94,1153.13
14,1236,2175.19,1836.75,1227,3254.81,980.25,1805.25,1153.31
15,1232.06,2176.13,1834.88,1224.19,3250.31,977.06,1800.75,1149.75
16,1232.44,2173.5,1833.75,1224.94,3251.06,977.44,1801.5,1149.75
17,1231.13,2177.81,1836.38,1226.06,3254.06,975.56,1800.75,1147.69
18,1228.31,2174.81,1833.94,1224.19,3250.88,973.5,1797.75,1145.44
19,1227.19,2175.94,1834.5,1222.88,3251.81,972.56,1796.63,1144.5
20,1226.63,2176.31,1835.06,1223.63,3252.19,972.19,1797,1143.94
21,1225.13,2176.31,1834.88,1223.25,3251.44,970.87,1795.13,1142.63
22,1224,2176.5,1834.88,1222.69,3250.69,969.94,1793.81,1141.69
23,1223.81,2177.44,1835.81,1222.13,3252.19,969.75,1794,1141.5
24,1223.25,2177.25,1835.25,1222.13,3251.25,969.37,1793.63,1141.13
