time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1444.88,2282.44,2471.81,1270.31,3489.94,1140.38,1857.75,1342.69
2,1445.25,2282.25,2471.81,1271.06,3489.94,1140.75,1858.13,1343.06
3,1445.06,2281.88,2471.81,1271.25,3489.75,1140.56,1858.13,1343.06
4,1445.25,2281.88,2471.63,1270.69,3489.75,1140.56,1857.94,1343.06
5,1445.44,2282.63,2472.19,1271.25,3490.13,1140.94,1858.5,1343.06
6,1445.44,2282.63,2471.81,1271.44,3490.31,1141.13,1858.88,1343.81
7,1445.44,2282.81,2472,1271.63,3490.31,1141.13,1859.25,1343.81
8,1445.63,2282.63,2472,1271.25,3490.5,1141.31,1859.44,1343.81
9,1445.44,2283,2471.25,1271.63,3489.75,1141.13,1858.69,1343.44
10,1445.44,2283,2471.44,1271.63,3490.5,1140.94,1859.06,1343.44
11,1445.63,2282.81,2471.44,1271.81,3490.31,1141.13,1859.06,1343.81
12,1445.63,2283,2471.81,1271.44,3490.69,1141.31,1859.63,1344
13,1445.63,2283.19,2471.06,1271.81,3489.75,1141.13,1859.25,1343.81
14,1444.88,2282.81,2470.88,1271.25,3489.75,1140.94,1858.88,1343.44
15,1445.06,2283.19,2471.25,1271.81,3490.13,1140.94,1859.06,1343.63
16,1445.06,2283,2470.88,1271.44,3489.94,1140.94,1858.88,1343.25
17,1444.13,2282.44,2470.13,1271.25,3488.63,1140,1857.75,1342.69
18,1443.56,2282.44,2470.5,1270.88,3488.81,1139.81,1857.56,1342.31
19,1443.19,2282.06,2470.13,1270.88,3488.06,1139.44,1856.81,1342.13
20,1443,2282.25,2470.13,1270.5,3488.25,1139.25,1856.63,1341.75
21,1442.63,2281.69,2469.75,1270.5,3487.5,1139.06,1855.88,1341.56
22,1442.44,2281.69,2469.94,1270.31,3488.06,1139.06,1856.06,1341.75
23,1442.25,2280.75,2469.56,1269.75,3486.94,1138.69,1855.31,1341.56
24,1440.75,2280.38,2468.63,1269,3485.44,1137.75,1853.63,1340.25
25,1439.81,2279.25,2468.63,1268.25,3483.94,1136.63,1851.56,1339.31
26,1439.06,2279.06,2468.44,1267.88,3483.75,1135.88,1850.44,1338.56
27,1438.69,2278.69,2469,1267.69,3483.94,1136.06,1850.25,1338.56
28,1439.25,2279.06,2469.38,1267.5,3483.94,1136.25,1850.44,1339.13
29,1439.44,2278.88,2469.38,1267.5,3483.94,1136.44,1850.63,1339.5
30,1439.63,2279.06,2469.75,1267.69,3484.13,1137,1851,1339.88
31,1440.19,2278.5,2469.75,1267.88,3483.75,1137.38,1851.19,1340.25
32,1440.56,2278.13,2469.75,1267.13,3483.75,1137.75,1851.19,1340.63
33,1440.56,2277.94,2469.75,1267.69,3483.38,1137.75,1851,1340.81
34,1440.56,2277.56,2469.38,1267.31,3482.81,1137.56,1850.63,1341
35,1440.94,2277.19,2469.38,1267.69,3483,1138.13,1850.81,1341.19
36,1441.5,2277.75,2470.31,1267.69,3484.13,1138.88,1851.94,1342.13
37,1442.06,2278.13,2469.75,1268.06,3483.56,1139.25,1852.31,1342.13
38,1442.44,2278.13,2470.31,1268.25,3484.5,1139.81,1853.06,1343.25
39,1442.81,2277.94,2469.94,1269.19,3483.94,1140.19,1853.63,1343.63
40,1442.81,2277.19,2469.38,1268.06,3483.19,1140,1852.88,1343.06
41,1442.63,2277.75,2469.75,1268.63,3483.75,1139.81,1852.88,1342.88
42,1442.44,2277.94,2469.94,1268.44,3483.94,1140,1853.25,1343.25
43,1442.63,2277.38,2469.19,1268.81,3483.19,1140,1853.06,1343.25
44,1443.19,2277.19,2469.56,1268.25,3483.75,1140.19,1853.25,1343.81
45,1443,2277.94,2469.38,1269,3483.56,1140.56,1853.63,1343.63
46,1443.56,2278.13,2469.75,1269.19,3484.13,1141.13,1854.19,1344.38
47,1443.38,2277.94,2469.94,1269.19,3484.31,1140.94,1854.19,1344.19
48,1443.56,2277.94,2469.38,1268.81,3483.75,1140.94,1854.38,1344.19
