timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1338,843,1752,540,1662,1254,945,1569
2,1338,846,1755,540,1662,1254,948,1569
3,1341,843,1755,540,1662,1254,948,1569
4,1344,846,1752,540,1662,1254,948,1572
5,1341,846,1752,540,1659,1254,948,1569
6,1344,846,1755,540,1659,1254,948,1569
7,1344,843,1755,540,1659,1254,948,1572
8,1344,846,1752,540,1659,1257,948,1572
9,1344,843,1752,540,1659,1257,948,1575
10,1344,843,1758,540,1659,1260,951,1572
11,1347,843,1758,540,1659,1260,948,1575
12,1350,843,1758,543,1665,1257,948,1575
13,1347,846,1758,540,1662,1260,951,1575
14,1347,843,1758,543,1662,1260,948,1578
15,1347,843,1758,540,1656,1257,951,1578
16,1344,846,1758,543,1662,1263,951,1575
17,1347,843,1755,543,1659,1260,948,1575
18,1347,843,1761,540,1659,1260,951,1581
19,1347,843,1758,543,1659,1263,954,1578
20,1350,843,1758,543,1659,1260,951,1578
21,1353,843,1761,543,1653,1260,951,1578
22,1347,843,1761,543,1659,1260,951,1575
23,1350,840,1761,543,1659,1260,951,1578
24,1353,843,1761,543,1650,1260,951,1578
25,1350,843,1761,543,1653,1260,951,1578
26,1347,843,1764,540,1659,1260,951,1578
27,1350,843,1764,543,1656,1260,951,1578
28,1350,843,1761,543,1656,1260,951,1575
29,1350,843,1761,543,1656,1263,948,1581
30,1353,843,1764,543,1659,1263,951,1575
31,1353,843,1764,543,1659,1263,951,1581
32,1353,840,1761,543,1659,1260,951,1578
33,1353,843,1764,543,1662,1266,954,1581
34,1353,843,1767,543,1656,1263,951,1578
35,1353,843,1767,543,1659,1263,951,1581
36,1353,843,1767,543,1656,1263,951,1581
37,1350,843,1764,543,1653,1263,951,1578
38,1353,843,1767,543,1650,1266,951,1581
39,1353,840,1767,546,1656,1263,951,1578
40,1356,843,1764,543,1656,1263,954,1581
41,1353,840,1764,543,1653,1266,951,1578
42,1356,840,1767,543,1656,1266,951,1581
43,1356,843,1767,543,1653,1266,951,1581
44,1359,840,1767,543,1656,1263,951,1581
45,1356,843,1764,546,1653,1263,951,1581
46,1359,840,1770,543,1653,1263,954,1581
47,1356,840,1770,543,1653,1266,951,1581
48,1356,840,1773,543,1656,1266,954,1584
49,1359,840,1770,543,1656,1266,954,1584
50,1359,840,1770,543,1659,1266,954,1581
51,1359,840,1770,543,1656,1266,954,1587
52,1356,840,1770,543,1659,1266,954,1584
53,1359,840,1770,543,1659,1266,954,1581
54,1359,840,1773,543,1656,1266,954,1584
55,1359,840,1776,543,1656,1266,957,1587
56,1359,840,1770,543,1659,1266,954,1581
57,1356,840,1770,546,1656,1266,954,1584
58,1359,840,1773,543,1659,1266,954,1587
59,1359,840,1773,543,1653,1266,954,1584
60,1362,840,1773,543,1656,1266,954,1584
61,1362,840,1773,543,1653,1266,954,1584
62,1356,840,1773,543,1653,1269,954,1587
63,1359,840,1776,543,1653,1269,954,1584
64,1362,840,1773,543,1656,1266,954,1584
65,1359,840,1770,543,1653,1269,954,1587
