timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1563,891,1548,801,1458,1428,1080,1725
2,1557,894,1548,798,1458,1425,1080,1722
3,1557,894,1548,798,1458,1422,1080,1728
4,1560,894,1548,798,1458,1419,1077,1722
5,1554,894,1551,798,1461,1419,1077,1722
6,1551,894,1551,798,1461,1416,1077,1722
7,1551,897,1551,798,1464,1416,1080,1716
8,1554,897,1551,795,1464,1419,1077,1716
9,1551,897,1551,798,1464,1416,1077,1713
10,1551,897,1554,795,1464,1410,1074,1713
11,1545,897,1554,795,1467,1413,1074,1713
12,1548,897,1551,792,1467,1410,1074,1713
13,1545,897,1554,795,1467,1407,1074,1710
14,1545,900,1557,792,1470,1404,1074,1710
15,1542,900,1557,792,1470,1404,1077,1707
16,1542,900,1557,792,1473,1401,1074,1707
17,1539,900,1557,792,1473,1398,1074,1704
18,1542,900,1557,792,1470,1401,1071,1704
19,1539,903,1557,789,1470,1398,1071,1704
20,1539,900,1560,789,1476,1395,1071,1701
21,1536,903,1560,789,1473,1395,1071,1701
22,1536,903,1560,789,1476,1395,1068,1698
23,1536,903,1560,789,1473,1392,1071,1701
24,1533,903,1560,786,1476,1392,1071,1695
25,1530,903,1563,786,1476,1392,1068,1695
26,1530,903,1563,786,1476,1392,1071,1692
27,1530,903,1563,786,1479,1392,1071,1695
28,1527,906,1566,783,1479,1389,1071,1695
29,1530,906,1563,783,1479,1386,1071,1692
30,1527,906,1566,786,1479,1386,1068,1692
31,1524,909,1566,783,1482,1383,1071,1692
32,1524,909,1566,786,1479,1383,1071,1689
33,1524,906,1569,783,1482,1383,1071,1689
34,1524,909,1569,783,1482,1380,1071,1686
35,1524,909,1569,783,1482,1380,1071,1686
36,1518,909,1572,783,1485,1380,1068,1686
37,1518,909,1572,780,1485,1380,1071,1683
38,1521,912,1572,783,1488,1377,1071,1686
39,1515,909,1572,783,1488,1380,1071,1683
40,1518,912,1575,780,1485,1377,1068,1683
41,1515,912,1572,780,1488,1377,1071,1680
42,1515,912,1572,780,1488,1374,1071,1683
43,1515,915,1578,780,1491,1371,1068,1680
44,1512,912,1575,777,1488,1374,1068,1677
45,1512,915,1578,780,1488,1371,1068,1674
46,1512,915,1578,777,1491,1368,1068,1677
47,1512,915,1578,777,1491,1368,1068,1677
48,1509,915,1581,777,1491,1365,1068,1674
49,1509,915,1578,777,1494,1365,1071,1671
50,1509,915,1578,777,1494,1368,1068,1674
51,1506,915,1581,780,1494,1368,1068,1674
52,1506,915,1581,777,1494,1365,1065,1671
53,1506,918,1581,777,1494,1362,1068,1674
