timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1614,924,1677,876,1446,1551,1038,1839
2,1611,924,1680,876,1449,1554,1041,1836
3,1614,927,1674,876,1449,1554,1044,1836
4,1611,927,1677,873,1443,1551,1044,1839
5,1611,924,1671,876,1446,1551,1041,1836
6,1608,924,1671,876,1443,1551,1044,1836
7,1608,924,1671,876,1446,1551,1044,1833
8,1608,924,1671,873,1443,1548,1041,1833
9,1605,921,1671,873,1443,1545,1041,1827
10,1605,924,1671,873,1443,1545,1041,1830
11,1605,924,1671,873,1443,1545,1041,1827
12,1602,924,1668,873,1443,1545,1041,1827
13,1602,924,1668,870,1443,1542,1038,1824
14,1599,924,1668,870,1443,1536,1041,1821
15,1599,924,1668,870,1443,1539,1041,1824
16,1599,924,1665,867,1443,1536,1038,1818
17,1593,921,1665,870,1440,1539,1038,1818
18,1593,924,1665,867,1440,1533,1038,1815
19,1593,921,1665,867,1440,1530,1038,1815
20,1590,921,1665,864,1440,1530,1041,1818
21,1590,924,1665,864,1440,1527,1041,1812
22,1587,924,1665,864,1440,1530,1038,1806
23,1587,921,1662,864,1440,1530,1038,1806
24,1587,924,1662,861,1440,1527,1038,1809
25,1587,924,1665,864,1440,1524,1041,1809
26,1590,924,1662,861,1440,1527,1038,1806
27,1587,924,1662,864,1440,1524,1038,1806
28,1584,924,1662,861,1440,1527,1041,1806
29,1584,924,1662,861,1443,1524,1038,1806
30,1587,924,1662,861,1440,1521,1038,1803
31,1584,924,1659,861,1440,1521,1038,1800
32,1581,924,1662,861,1440,1518,1041,1800
33,1581,924,1662,861,1443,1521,1038,1800
34,1581,924,1659,861,1440,1518,1038,1797
35,1581,921,1659,858,1440,1515,1035,1794
36,1575,924,1659,858,1437,1515,1035,1794
37,1575,921,1659,855,1440,1512,1038,1794
38,1572,924,1659,855,1440,1509,1035,1791
39,1572,924,1659,855,1440,1506,1035,1788
40,1572,924,1659,852,1440,1506,1032,1785
41,1569,924,1659,852,1440,1506,1032,1788
42,1566,924,1659,852,1437,1506,1035,1785
43,1569,921,1659,852,1440,1503,1035,1785
44,1563,924,1659,849,1440,1500,1032,1779
45,1560,924,1656,849,1437,1500,1029,1776
46,1557,924,1659,849,1440,1497,1029,1776
47,1554,924,1656,849,1440,1494,1029,1773
48,1557,924,1659,846,1440,1491,1029,1770
49,1557,924,1656,846,1437,1491,1029,1773
50,1557,927,1659,846,1437,1488,1026,1770
51,1554,924,1659,843,1440,1491,1026,1767
52,1551,924,1659,846,1437,1488,1029,1773
53,1551,924,1659,846,1440,1488,1026,1767
54,1548,924,1659,843,1440,1488,1026,1770
55,1551,924,1659,843,1440,1488,1029,1767
56,1551,924,1659,846,1440,1488,1029,1770
57,1554,927,1662,843,1440,1488,1032,1773
58,1554,924,1659,843,1443,1491,1029,1767
59,1548,927,1659,843,1443,1485,1032,1770
60,1545,927,1659,840,1443,1485,1026,1764
61,1545,924,1656,840,1437,1482,1026,1761
62,1545,924,1659,840,1440,1482,1026,1764
63,1545,927,1662,840,1440,1482,1026,1761
64,1545,927,1662,840,1440,1482,1026,1761
65,1545,924,1662,840,1443,1482,1029,1764
66,1545,924,1662,843,1443,1482,1032,1767
67,1545,924,1662,840,1443,1485,1032,1764
68,1548,924,1662,840,1443,1482,1032,1764
69,1548,927,1662,840,1443,1485,1032,1764
70,1551,927,1665,840,1446,1482,1032,1764
71,1518,888,1614,837,1398,1449,1005,1731
72,1503,909,1644,822,1419,1443,996,1713
73,1482,912,1653,819,1416,1416,978,1698
74,1476,909,1659,810,1413,1410,969,1689
75,1455,909,1692,810,1413,1389,960,1671
76,1458,909,1731,801,1431,1392,960,1668
77,1455,912,1779,801,1455,1389,963,1665
78,1452,921,1821,801,1485,1380,963,1671
79,1455,924,1866,798,1524,1392,972,1677
80,1461,927,1911,804,1557,1389,978,1686
81,1470,927,1950,801,1584,1404,987,1707
82,1476,933,1995,801,1611,1407,990,1713
83,1485,936,2025,810,1632,1410,993,1731
84,1485,939,2058,810,1659,1416,1002,1737
85,1503,942,2094,807,1695,1437,1011,1755
86,1512,948,2121,816,1713,1440,1017,1776
87,1530,945,2145,813,1737,1464,1029,1791
88,1545,951,2169,822,1752,1467,1026,1812
89,1551,954,2193,822,1770,1482,1035,1818
90,1569,951,2208,822,1791,1500,1044,1845
91,1578,957,2232,828,1803,1506,1047,1845
92,1578,954,2244,831,1812,1515,1044,1857
93,1590,957,2262,834,1827,1524,1047,1866
94,1605,957,2274,834,1836,1539,1056,1884
95,1614,960,2289,840,1854,1545,1059,1887
96,1629,960,2298,843,1857,1554,1059,1902
97,1632,963,2307,843,1866,1563,1062,1908
98,1638,963,2319,846,1878,1575,1068,1914
99,1644,963,2319,849,1875,1578,1062,1926
100,1647,963,2328,852,1881,1584,1065,1929
101,1650,960,2337,846,1893,1587,1068,1929
102,1668,960,2340,849,1893,1596,1068,1941
103,1665,963,2352,852,1905,1599,1068,1938
104,1680,963,2352,855,1902,1608,1071,1959
105,1689,963,2355,858,1917,1620,1074,1965
106,1689,966,2358,861,1914,1620,1071,1974
107,1689,963,2376,861,1926,1623,1080,1974
108,1695,963,2367,861,1923,1626,1074,1971
109,1695,969,2382,864,1929,1626,1077,1977
110,1710,966,2373,861,1926,1635,1080,1995
111,1713,966,2376,864,1929,1644,1080,1989
112,1710,969,2385,870,1932,1641,1077,1989
113,1719,969,2388,870,1941,1647,1080,1998
114,1722,972,2391,873,1941,1656,1083,2007
115,1719,966,2391,870,1944,1656,1083,2004
116,1725,972,2388,876,1947,1659,1080,2010
117,1734,969,2397,876,1950,1665,1083,2010
118,1734,969,2400,876,1956,1671,1086,2016
119,1743,969,2400,876,1956,1677,1086,2019
120,1752,972,2403,885,1956,1683,1089,2034
121,1749,969,2403,879,1965,1689,1092,2031
122,1764,969,2403,885,1953,1701,1095,2049
123,1776,972,2409,885,1962,1707,1098,2055
124,1770,972,2403,888,1953,1698,1089,2049
125,1773,972,2406,891,1959,1704,1095,2061
126,1785,972,2409,891,1968,1716,1101,2061
127,1782,975,2418,897,1968,1716,1104,2067
128,1785,966,2409,894,1965,1719,1104,2070
129,1791,969,2406,897,1962,1722,1098,2073
130,1797,969,2406,897,1962,1728,1101,2073
131,1794,969,2406,897,1959,1725,1098,2073
132,1788,969,2415,897,1968,1722,1098,2067
133,1791,969,2418,900,1968,1722,1098,2073
134,1791,972,2415,897,1968,1722,1095,2073
135,1794,969,2418,900,1971,1728,1098,2073
136,1803,969,2412,900,1971,1734,1101,2079
137,1797,969,2415,903,1971,1731,1098,2079
138,1803,969,2418,903,1974,1737,1101,2085
139,1806,972,2418,903,1974,1740,1101,2085
140,1818,969,2409,906,1965,1746,1104,2097
141,1818,972,2415,909,1971,1752,1101,2103
142,1830,975,2424,909,1977,1761,1107,2106
143,1821,975,2418,912,1977,1758,1104,2109
144,1830,972,2418,912,1974,1761,1110,2112
145,1833,975,2421,912,1986,1770,1113,2112
146,1839,978,2427,915,1983,1770,1116,2115
147,1845,975,2424,921,1980,1773,1116,2130
148,1842,972,2421,918,1980,1779,1116,2121
149,1845,972,2427,921,1983,1779,1119,2127
150,1851,975,2427,921,1986,1788,1116,2127
151,1854,975,2421,921,1983,1785,1116,2130
152,1851,975,2427,918,1986,1782,1119,2127
153,1848,975,2421,924,1983,1782,1116,2130
154,1857,975,2424,921,1983,1788,1116,2136
155,1851,972,2421,921,1977,1782,1110,2136
156,1860,972,2424,924,1977,1785,1113,2139
157,1863,975,2421,924,1983,1791,1116,2139
158,1863,972,2421,924,1980,1788,1116,2142
159,1854,975,2421,927,1977,1788,1116,2136
160,1863,975,2421,924,1989,1788,1116,2139
161,1860,975,2430,927,1989,1797,1119,2136
162,1866,981,2436,930,1992,1797,1125,2151
163,1875,975,2430,930,1983,1800,1122,2151
164,1869,978,2427,930,1986,1794,1119,2151
165,1872,975,2424,927,1986,1806,1122,2145
166,1875,978,2427,927,1986,1803,1116,2148
167,1869,975,2424,930,1983,1800,1116,2148
168,1875,978,2430,930,1992,1812,1122,2148
169,1884,981,2433,933,1998,1815,1125,2157
170,1884,978,2430,927,1992,1818,1128,2160
171,1893,978,2433,948,1995,1818,1128,2166
172,1902,966,2406,939,1986,1836,1143,2178
173,1911,939,2367,939,1935,1839,1143,2190
174,1908,918,2325,942,1884,1842,1143,2193
175,1914,906,2292,942,1845,1851,1128,2181
176,1914,900,2259,942,1812,1842,1125,2184
177,1905,894,2238,945,1785,1848,1119,2169
178,1899,888,2211,945,1764,1839,1119,2172
179,1896,891,2193,945,1746,1839,1110,2157
180,1884,888,2166,945,1728,1830,1110,2154
181,1884,888,2157,942,1716,1827,1104,2151
182,1878,885,2142,945,1707,1818,1104,2148
183,1878,885,2127,945,1695,1812,1098,2145
184,1869,882,2109,945,1689,1809,1095,2133
185,1866,882,2100,942,1680,1806,1095,2130
186,1860,885,2088,945,1668,1809,1092,2127
187,1857,882,2079,942,1665,1797,1092,2127
188,1854,882,2064,942,1659,1794,1086,2118
189,1845,882,2052,945,1650,1788,1092,2118
190,1848,882,2043,942,1644,1791,1086,2106
191,1839,879,2031,942,1644,1788,1086,2109
192,1836,879,2019,942,1638,1779,1086,2106
193,1833,879,2019,939,1635,1779,1083,2106
194,1833,882,2010,939,1629,1779,1080,2094
195,1830,882,2001,939,1623,1773,1083,2094
196,1824,882,1989,939,1620,1773,1083,2091
