time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1619.63,2288.63,1877.44,1278.56,3357.75,1358.44,1925.81,1493.81
2,1619.25,2289,1877.63,1279.13,3357.94,1358.06,1926.75,1493.44
3,1619.06,2289.75,1878,1279.69,3357.94,1357.88,1927.31,1493.44
4,1618.5,2290.31,1877.81,1279.31,3358.5,1357.69,1927.88,1492.88
5,1618.13,2290.31,1878,1279.88,3358.69,1357.31,1928.06,1492.69
6,1617.56,2290.69,1878,1280.44,3358.69,1356.75,1928.44,1492.13
7,1616.81,2291.25,1878.19,1280.44,3358.69,1356.38,1928.63,1491.94
8,1616.25,2291.63,1878.38,1280.25,3359.25,1356,1929,1491.38
9,1615.69,2292,1878.56,1280.81,3359.06,1355.63,1929.38,1491
10,1615.31,2292.38,1878.75,1281.38,3359.25,1355.06,1929.75,1490.44
11,1614.94,2292.75,1878.94,1281.56,3359.25,1354.69,1930.13,1490.25
12,1614.75,2293.5,1879.31,1281.38,3360.75,1354.88,1930.88,1490.06
13,1614,2293.5,1879.31,1281.94,3359.81,1354.13,1930.88,1489.31
14,1613.25,2294.06,1879.31,1282.31,3360,1353.38,1930.88,1488.75
15,1612.5,2294.25,1879.69,1282.13,3360.19,1352.81,1931.06,1488
16,1611.75,2295,1879.69,1281.94,3360.38,1352.25,1930.69,1487.63
17,1611.56,2295,1880.25,1282.88,3360.75,1352.06,1931.81,1487.44
18,1611.19,2295.56,1880.44,1283.06,3360.94,1351.69,1932.19,1486.88
19,1610.81,2296.31,1880.81,1283.25,3361.31,1351.5,1932.56,1486.69
20,1610.63,2297.06,1881,1283.44,3361.88,1351.13,1933.31,1486.31
21,1610.25,2296.88,1881.19,1284,3361.69,1350.94,1933.69,1486.13
22,1609.5,2297.25,1881.19,1284.19,3361.69,1350.38,1933.69,1485.75
23,1608.94,2297.44,1881.38,1284.19,3361.69,1349.81,1933.5,1484.63
24,1607.44,2298,1881.19,1283.63,3361.88,1348.69,1933.13,1483.69
25,1607.63,2297.81,1881.75,1284.75,3362.25,1348.69,1934.06,1483.88
26,1607.06,2298.75,1881.94,1284.94,3362.44,1348.5,1934.44,1483.5
27,1606.31,2298.75,1882.13,1284.75,3362.44,1347.94,1934.63,1483.31
28,1605.94,2299.69,1882.13,1284.56,3363,1347.56,1935,1482.38
29,1605.19,2299.69,1882.31,1285.5,3362.63,1346.81,1934.81,1482.38
30,1604.81,2300.06,1882.5,1285.5,3362.81,1346.44,1935.19,1481.63
31,1604.25,2300.06,1882.88,1285.5,3363,1346.25,1935.19,1481.44
32,1603.88,2301.38,1882.88,1285.31,3363.38,1345.88,1935.75,1481.06
33,1603.31,2300.81,1883.06,1286.06,3363,1345.5,1935.94,1480.69
34,1603.13,2301.56,1883.44,1286.25,3363.56,1345.13,1936.5,1480.5
35,1602.75,2302.31,1883.81,1286.63,3363.94,1344.94,1936.88,1480.31
36,1602.38,2303.06,1883.81,1286.06,3364.5,1344.75,1937.44,1479.94
37,1601.63,2301.94,1883.63,1286.81,3363.94,1344.19,1937.44,1479.38
38,1601.44,2303.44,1884.38,1287.38,3364.69,1343.81,1938,1479.19
