timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1851,927,1734,894,1560,1695,1116,2004
2,2025,918,1842,850,1626,1848,1034,2026
3,2010,870,2019,780,1737,1821,975,2115
4,2001,867,2007,783,1731,1818,975,2112
5,1993,917,1826,804,1685,1775,994,2071
6,1836,930,1734,885,1563,1677,1116,1986
7,1833,930,1734,885,1560,1674,1113,1980
8,1827,933,1734,888,1560,1671,1113,1980
9,1827,930,1731,885,1560,1668,1110,1977
10,1824,933,1734,882,1554,1668,1110,1971
11,1821,933,1728,882,1554,1659,1110,1968
12,1821,933,1731,882,1557,1659,1110,1965
13,1815,933,1731,879,1554,1659,1107,1962
14,1815,933,1728,879,1557,1656,1110,1962
15,1812,936,1728,876,1557,1650,1110,1959
16,1812,936,1728,879,1554,1650,1107,1953
17,1812,936,1728,876,1557,1647,1107,1950
18,1806,936,1728,873,1557,1644,1107,1947
19,1806,936,1725,873,1554,1641,1107,1947
20,1803,936,1728,873,1557,1638,1107,1941
21,1800,936,1725,870,1557,1635,1107,1944
22,1797,936,1728,870,1557,1635,1107,1935
23,1794,936,1728,870,1557,1632,1107,1935
24,1794,936,1728,870,1557,1629,1104,1935
25,1788,936,1725,867,1560,1629,1104,1929
26,1788,939,1725,867,1560,1623,1107,1929
27,1788,939,1725,864,1557,1623,1104,1923
28,1782,939,1725,867,1560,1620,1104,1923
29,1782,939,1725,864,1560,1620,1104,1920
30,1782,939,1725,861,1560,1614,1101,1917
31,1776,936,1728,861,1560,1614,1104,1917
32,1773,939,1725,861,1560,1611,1101,1911
33,1773,939,1722,861,1563,1611,1101,1911
34,1770,939,1725,861,1560,1608,1101,1908
35,1770,939,1725,858,1560,1602,1104,1905
36,1764,939,1725,861,1560,1602,1101,1905
37,1767,939,1725,858,1560,1599,1098,1902
38,1761,939,1725,855,1557,1596,1101,1896
39,1761,939,1725,855,1557,1596,1098,1896
40,1755,939,1722,855,1557,1593,1098,1896
41,1758,939,1722,855,1557,1593,1098,1890
42,1752,942,1725,852,1560,1590,1101,1893
43,1752,942,1725,852,1557,1587,1098,1893
44,1752,942,1728,852,1563,1587,1098,1887
45,1752,942,1722,849,1563,1584,1098,1884
46,1743,942,1725,849,1563,1581,1098,1881
47,1743,942,1725,849,1563,1581,1098,1881
48,1743,942,1725,849,1563,1575,1095,1878
49,1740,942,1725,846,1563,1575,1098,1878
50,1740,942,1725,846,1566,1575,1095,1875
51,1737,942,1725,846,1569,1572,1095,1872
52,1737,945,1725,846,1569,1572,1095,1875
53,1734,942,1725,843,1566,1569,1095,1869
54,1731,945,1725,843,1566,1566,1095,1869
55,1728,942,1725,840,1566,1566,1095,1863
56,1725,942,1728,843,1569,1563,1095,1863
57,1725,945,1725,840,1569,1563,1095,1863
58,1725,945,1725,840,1569,1560,1092,1860
59,1725,945,1725,840,1569,1560,1092,1860
60,1719,945,1728,840,1563,1557,1092,1860
61,1719,945,1728,837,1563,1557,1092,1857
62,1719,945,1728,837,1563,1557,1095,1854
63,1713,945,1728,837,1563,1554,1092,1854
64,1716,945,1728,840,1563,1551,1092,1854
65,1716,945,1728,837,1563,1551,1092,1851
66,1713,945,1728,837,1563,1548,1095,1851
67,1713,945,1728,834,1563,1551,1092,1848
68,1710,945,1728,837,1563,1548,1092,1848
69,1707,945,1731,834,1563,1545,1095,1845
70,1707,945,1728,834,1560,1545,1092,1848
71,1650,906,1656,828,1500,1497,1053,1791
72,1632,927,1704,807,1521,1476,1035,1767
73,1617,930,1734,801,1527,1458,1020,1749
74,1608,942,1791,798,1548,1446,1011,1737
75,1602,954,1881,795,1608,1437,1005,1734
76,1596,972,1989,789,1683,1434,1005,1734
77,1593,993,2112,789,1779,1434,1011,1740
78,1590,1014,2235,792,1866,1431,1020,1746
79,1596,1035,2346,792,1959,1443,1035,1770
80,1605,1059,2451,795,2034,1452,1050,1797
81,1611,1083,2547,801,2130,1467,1068,1833
82,1629,1101,2622,804,2208,1488,1089,1869
83,1650,1113,2679,807,2274,1512,1110,1908
84,1671,1128,2739,813,2340,1536,1125,1941
85,1692,1143,2781,816,2385,1560,1140,1983
86,1716,1155,2826,819,2439,1587,1155,2016
87,1743,1173,2868,825,2484,1617,1167,2043
88,1764,1188,2904,828,2529,1644,1191,2070
89,1797,1197,2922,834,2565,1671,1200,2109
90,1821,1206,2946,837,2595,1701,1215,2139
91,1848,1218,2967,843,2634,1725,1230,2163
92,1875,1227,2985,846,2658,1746,1242,2187
93,1893,1239,3015,852,2688,1773,1254,2208
94,1914,1251,3027,858,2712,1794,1266,2235
95,1938,1260,3045,861,2739,1821,1281,2259
96,1962,1260,3060,867,2757,1836,1290,2283
97,1986,1269,3069,870,2772,1863,1302,2301
98,1998,1278,3075,876,2787,1875,1311,2313
99,2025,1278,3075,879,2808,1899,1317,2334
100,2031,1287,3093,879,2820,1908,1320,2340
101,2055,1293,3102,882,2838,1926,1326,2361
102,2064,1299,3102,885,2856,1944,1341,2373
103,2079,1308,3120,894,2871,1953,1347,2391
104,2106,1308,3120,897,2889,1980,1359,2415
105,2115,1317,3132,903,2895,1998,1365,2424
106,2133,1323,3141,906,2907,2007,1371,2442
107,2148,1323,3147,906,2928,2025,1380,2451
108,2154,1329,3153,915,2937,2034,1386,2466
109,2166,1332,3156,918,2946,2055,1392,2475
110,2190,1335,3162,921,2955,2067,1398,2499
111,2199,1341,3174,924,2964,2085,1410,2505
112,2202,1341,3180,930,2970,2088,1410,2520
113,2217,1347,3177,936,2976,2106,1416,2532
114,2223,1350,3183,936,2985,2112,1419,2541
115,2241,1353,3180,939,2985,2121,1425,2553
116,2241,1350,3195,939,3003,2133,1431,2556
117,2256,1353,3183,942,3000,2145,1431,2568
118,2262,1353,3192,945,3009,2154,1437,2574
119,2274,1362,3198,948,3024,2163,1440,2580
120,2283,1362,3207,948,3030,2175,1443,2595
121,2289,1365,3207,954,3027,2175,1446,2601
122,2301,1362,3213,957,3036,2193,1458,2616
123,2313,1368,3213,960,3042,2205,1458,2628
124,2316,1374,3228,966,3057,2217,1464,2631
125,2316,1371,3222,966,3054,2217,1464,2631
126,2334,1374,3219,969,3054,2229,1470,2649
127,2343,1374,3231,972,3063,2244,1476,2664
128,2349,1377,3225,975,3069,2256,1476,2670
129,2361,1377,3228,975,3081,2262,1488,2676
130,2373,1380,3234,981,3078,2271,1488,2685
131,2376,1383,3240,984,3084,2274,1488,2691
132,2379,1383,3243,984,3090,2286,1494,2700
133,2388,1386,3246,990,3093,2292,1491,2706
134,2391,1386,3252,990,3099,2298,1497,2712
135,2403,1386,3246,990,3090,2298,1497,2721
