time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1562.63,2205,2251.69,1267.13,3204,1351.13,1880.06,1601.63
2,1562.25,2205,2251.13,1267.13,3203.81,1350.38,1879.69,1600.88
3,1561.88,2205,2250.75,1267.31,3203.25,1350,1879.5,1600.5
4,1561.5,2203.13,2250.38,1267.13,3202.5,1349.63,1879.31,1600.5
5,1560.94,2200.88,2249.81,1266.56,3201.75,1349.63,1878.94,1600.69
6,1560.75,2199.56,2249.63,1266.19,3201,1349.44,1878.38,1601.06
7,1560.75,2198.25,2249.81,1266.38,3200.81,1349.44,1878,1601.06
8,1560.75,2195.44,2249.25,1266.19,3200.06,1349.25,1877.81,1600.88
9,1560.56,2192.81,2249.06,1265.63,3199.31,1349.25,1877.44,1601.06
10,1560.38,2190.19,2248.31,1265.25,3198.56,1349.25,1876.88,1601.06
11,1560.19,2189.06,2247.94,1265.25,3198,1349.44,1876.13,1600.88
12,1560,2187.75,2247.38,1264.69,3197.06,1349.25,1875.38,1600.13
13,1559.81,2187.75,2246.63,1264.13,3196.5,1348.5,1874.63,1599.19
14,1559.44,2187.94,2246.25,1263.94,3195.94,1347.94,1873.88,1598.44
15,1559.06,2189.25,2245.69,1263.94,3195.56,1347.38,1873.31,1597.5
16,1558.5,2189.81,2245.31,1263.56,3195.38,1346.81,1872.94,1596.56
17,1558.13,2190.38,2244.75,1263.19,3195,1345.88,1872.56,1595.81
18,1557.56,2191.13,2244.38,1263,3194.81,1344.94,1872.38,1594.88
19,1557,2191.69,2243.63,1263,3194.63,1344,1872,1594.13
20,1556.44,2191.69,2243.25,1263,3194.44,1343.06,1871.81,1593.19
21,1555.88,2192.06,2243.06,1262.25,3194.25,1342.31,1871.44,1592.44
22,1555.5,2192.44,2242.69,1262.25,3194.25,1341.56,1871.44,1591.69
23,1554.94,2192.81,2241.94,1262.63,3194.25,1341.19,1871.25,1591.5
24,1554.38,2192.06,2241.19,1262.44,3193.88,1340.81,1871.06,1591.13
25,1554,2191.13,2241,1261.88,3193.5,1340.44,1870.88,1591.13
26,1553.81,2188.69,2240.63,1261.69,3192.75,1339.88,1870.69,1590.94
27,1553.25,2186.63,2240.44,1262.06,3192.19,1339.88,1870.5,1590.94
28,1553.06,2184.38,2240.25,1261.69,3191.81,1339.88,1870.31,1590.94
29,1553.06,2182.5,2239.5,1261.13,3191.25,1339.69,1869.75,1591.13
30,1552.88,2180.44,2238.94,1260.56,3190.69,1340.06,1869,1590.94
31,1552.69,2178.75,2238,1260.75,3189.75,1339.88,1868.44,1590.75
32,1552.5,2176.5,2237.25,1260.19,3189.38,1340.25,1867.69,1590.56
33,1552.13,2176.31,2236.5,1259.44,3188.44,1339.88,1866.75,1589.81
34,1551.75,2178,2235.94,1259.06,3188.25,1339.5,1866,1588.88
35,1551.56,2179.69,2235.56,1259.25,3188.06,1338.56,1865.81,1587.94
36,1550.81,2179.69,2234.63,1259.25,3187.69,1337.63,1865.25,1587
37,1550.44,2180.44,2234.06,1258.69,3187.13,1336.69,1864.88,1585.88
38,1549.88,2181,2233.5,1258.5,3187.13,1335.94,1864.5,1585.13
39,1549.13,2181.75,2232.94,1258.5,3186.94,1335.19,1864.31,1584.19
40,1548.75,2182.13,2232.38,1258.5,3186.94,1334.44,1864.13,1583.44
41,1548,2182.5,2231.63,1257.94,3186.75,1333.31,1863.75,1582.69
42,1547.44,2182.88,2231.44,1257.75,3186.75,1332.56,1863.75,1581.75
43,1546.88,2182.69,2230.69,1257.94,3186,1331.63,1863.38,1581.38
44,1546.31,2181.94,2229.94,1257.94,3185.63,1331.25,1863.38,1581
45,1545.94,2180.63,2229.56,1257.19,3185.44,1331.25,1863.19,1581.19
46,1545.56,2179.13,2229.38,1257,3185.44,1331.63,1862.63,1581.38
47,1545.38,2177.63,2228.63,1257.38,3185.25,1331.44,1862.44,1581.56
48,1545.38,2174.63,2228.44,1257,3184.69,1331.63,1861.88,1581.56
49,1545,2171.81,2227.5,1256.25,3184.13,1331.81,1861.69,1581.56
50,1544.81,2169,2226.94,1256.06,3183.75,1332,1861.13,1581.75
51,1544.63,2167.69,2226,1255.88,3183,1332,1860.56,1581.56
52,1544.63,2166.38,2225.06,1255.31,3181.88,1332,1859.44,1581.38
53,1544.44,2166.19,2224.5,1254.56,3181.31,1331.81,1858.69,1581
54,1543.88,2167.69,2223.75,1254.19,3181.13,1331.44,1858.13,1580.25
55,1543.5,2169.19,2223.38,1254.56,3180.75,1330.69,1857.56,1579.31
56,1542.94,2169.75,2222.63,1254.56,3180.19,1329.75,1857,1578
57,1542.38,2170.31,2221.88,1253.81,3180,1328.81,1857,1577.25
58,1541.81,2170.69,2221.31,1253.63,3179.63,1327.88,1856.63,1576.31
59,1541.06,2171.06,2220.75,1253.81,3179.06,1327.13,1856.25,1575.75
60,1540.69,2171.06,2220.19,1253.81,3179.25,1326.75,1856.06,1575
61,1539.94,2171.44,2219.63,1253.06,3178.88,1326.38,1855.88,1574.44
62,1539.56,2171.81,2219.06,1253.06,3179.06,1325.81,1855.31,1574.06
63,1539.19,2171.44,2218.5,1253.25,3178.88,1325.44,1855.31,1573.88
64,1538.81,2169.94,2217.94,1252.88,3178.5,1325.25,1854.75,1573.69
65,1538.25,2168.44,2217.19,1252.13,3178.5,1325.06,1854.75,1574.06
66,1538.06,2168.25,2216.81,1251.94,3178.31,1325.06,1853.81,1573.88
67,1537.69,2168.06,2215.88,1251.94,3178.31,1325.25,1853.63,1574.25
68,1537.31,2168.25,2215.5,1251.75,3178.13,1325.25,1853.25,1574.44
69,1537.13,2169.19,2215.31,1251.38,3177.56,1325.06,1852.88,1574.06
