time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1572.75,2270.63,2565.94,1298.81,3268.31,1308.19,1922.25,1559.63
2,1573.13,2271,2566.69,1299.19,3268.5,1308.56,1922.44,1560.19
3,1573.5,2270.81,2567.63,1299.56,3268.69,1308.94,1922.44,1560.75
4,1573.88,2271,2568.38,1299.38,3269.06,1309.31,1922.63,1560.94
5,1574.44,2270.81,2569.5,1299.38,3269.06,1309.69,1922.63,1561.69
6,1574.81,2271.56,2570.25,1299.38,3269.44,1310.44,1922.81,1562.25
7,1575.19,2271.38,2570.63,1299.75,3269.81,1310.81,1922.81,1562.81
8,1575.56,2271.38,2571.75,1299.94,3270,1311.19,1922.81,1563.38
9,1575.94,2271.56,2572.69,1299.56,3270.38,1311.56,1922.81,1563.75
10,1576.13,2272.13,2573.44,1299.75,3270.38,1311.75,1923,1564.13
11,1576.31,2271.56,2574.19,1300.31,3270.75,1311.94,1922.81,1564.5
12,1576.69,2271.75,2574.94,1300.31,3271.13,1312.13,1923.19,1564.88
13,1577.06,2272.31,2575.69,1299.94,3271.13,1312.5,1923,1565.06
14,1577.25,2272.31,2576.44,1299.94,3271.31,1312.5,1923.38,1565.44
15,1577.44,2272.31,2577.19,1300.5,3271.69,1312.88,1923.19,1565.81
16,1577.63,2272.5,2577.94,1300.5,3271.69,1313.06,1923.19,1566
17,1577.81,2272.5,2578.69,1300.13,3272.06,1313.25,1923.19,1566.38
18,1578,2272.69,2579.06,1300.31,3272.06,1313.44,1923.38,1566.38
19,1578.19,2272.69,2580,1300.69,3272.25,1313.63,1923.38,1566.75
20,1578.19,2272.69,2580.56,1300.5,3272.44,1313.63,1923.38,1566.94
21,1578.38,2272.88,2581.13,1300.5,3272.63,1313.81,1923.19,1567.13
22,1578.56,2273.06,2581.69,1300.5,3272.81,1314,1923.75,1567.31
23,1578.56,2273.06,2582.44,1301.06,3273.19,1314,1923.56,1567.5
24,1578.75,2273.25,2583,1300.69,3273.19,1314.19,1923.56,1567.5
25,1578.94,2273.06,2583.56,1300.5,3273.38,1314.38,1923.56,1567.88
26,1579.13,2273.44,2584.13,1300.5,3273.56,1314.19,1923.75,1567.88
27,1579.31,2273.44,2585.06,1300.88,3273.56,1314.56,1923.56,1567.88
28,1579.13,2273.25,2585.25,1301.06,3273.94,1314.56,1923.56,1568.25
