time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
2,1591.5,2181.94,1996.13,1226.44,3177.75,1546.31,1831.88,1636.5
3,1591.13,2181.56,1996.31,1226.44,3177.56,1545.38,1831.69,1636.13
4,1590.56,2182.31,1996.13,1225.88,3177.94,1545.19,1831.69,1635.38
5,1590.19,2181.56,1995.94,1226.06,3177.38,1544.44,1831.5,1634.81
6,1589.63,2181.94,1995.94,1226.25,3177.38,1543.69,1831.69,1634.44
7,1589.06,2182.31,1995.94,1226.63,3177.19,1543.13,1831.69,1633.69
8,1588.69,2182.31,1995.94,1226.06,3177.38,1542.56,1831.88,1633.31
9,1588.31,2182.5,1995.75,1226.44,3177.38,1542,1831.88,1632.94
10,1587.75,2182.69,1995.75,1226.25,3177.38,1541.44,1831.88,1632.19
11,1587.38,2182.5,1995.75,1226.63,3177.56,1540.69,1831.88,1631.81
12,1587,2182.88,1995.75,1226.25,3177.56,1540.31,1832.06,1631.25
13,1586.63,2183.06,1995.75,1226.81,3177.94,1539.75,1832.06,1630.88
14,1586.44,2183.25,1995.56,1226.44,3178.13,1539.38,1832.25,1630.69
15,1586.25,2183.25,1995.56,1226.81,3178.13,1538.81,1832.25,1630.31
16,1585.69,2183.44,1995.38,1226.25,3178.31,1538.06,1832.25,1629.75
17,1585.13,2183.63,1995.38,1226.81,3178.13,1537.5,1832.44,1629.19
18,1584.75,2183.25,1995.19,1226.63,3178.31,1536.94,1832.44,1628.81
19,1584.19,2183.44,1995.38,1227,3178.13,1536.38,1832.44,1628.25
20,1584,2183.63,1995.56,1226.63,3178.13,1535.81,1832.63,1627.69
21,1583.63,2183.63,1995.56,1227.19,3178.13,1535.25,1832.44,1627.31
22,1583.06,2183.81,1995.38,1227,3177.94,1534.5,1832.63,1626.75
23,1582.5,2184,1995.38,1227.38,3177.94,1533.94,1832.44,1626.19
24,1582.13,2184.19,1995.38,1226.81,3178.31,1533.38,1832.44,1625.63
25,1581.56,2184.19,1995.38,1227.38,3178.31,1532.81,1832.44,1625.06
26,1581,2184.38,1995.19,1227,3178.31,1532.06,1832.44,1624.5
27,1580.63,2184.38,1995.19,1227.38,3178.31,1531.31,1832.44,1623.94
28,1579.88,2184.38,1995.19,1226.81,3178.31,1530.75,1832.44,1623.19
29,1579.5,2184.56,1995.38,1227.38,3178.31,1530,1832.25,1622.63
30,1578.94,2184.75,1995.19,1227,3178.31,1529.25,1832.06,1622.06
31,1578.38,2184.75,1995.19,1227.19,3178.31,1528.69,1832.06,1621.5
32,1577.81,2185.13,1995.38,1227,3178.69,1527.94,1831.88,1620.94
33,1577.44,2184.94,1995.38,1227.38,3178.88,1527.56,1832.06,1620.56
34,1576.88,2184.94,1995.38,1227.19,3178.88,1527,1832.06,1620
35,1576.5,2184.75,1995.38,1227.56,3178.69,1526.25,1832.25,1619.63
36,1576.13,2184.94,1995.38,1227.19,3178.5,1525.5,1832.25,1619.25
37,1575.56,2184.94,1995.56,1227.56,3178.31,1524.94,1832.25,1618.5
38,1575.19,2185.13,1995.56,1227.38,3178.31,1524.38,1832.25,1618.31
39,1574.63,2185.13,1995.56,1227.56,3178.31,1523.81,1832.06,1617.75
40,1574.44,2185.5,1995.56,1227.19,3178.31,1523.25,1832.25,1617.19
41,1573.69,2185.5,1995.56,1227.38,3178.5,1522.5,1832.06,1616.63
42,1573.5,2185.88,1995.56,1227.38,3178.69,1522.13,1832.25,1616.25
43,1572.94,2186.06,1995.38,1227.56,3178.88,1521.56,1832.25,1615.88
44,1572.56,2186.06,1995.38,1227.19,3178.88,1521,1832.44,1615.31
45,1572.38,2186.06,1995.38,1227.56,3178.88,1520.44,1832.44,1614.94
46,1571.81,2185.88,1995.19,1227.38,3178.69,1519.88,1832.44,1614.38
47,1571.44,2186.06,1995.19,1227.56,3178.69,1519.31,1832.63,1614
48,1571.06,2186.06,1995.19,1227.19,3178.69,1518.56,1832.44,1613.44
49,1570.69,2186.25,1995.19,1227.38,3178.69,1518.19,1832.25,1613.06
50,1570.13,2186.06,1995.38,1227.38,3178.88,1517.44,1832.44,1612.5
51,1569.75,2186.44,1995.19,1227.75,3178.88,1517.06,1832.44,1612.13
52,1569.38,2186.06,1995,1227.38,3178.69,1516.31,1832.44,1611.75
53,1569,2186.44,1995,1227.75,3179.25,1515.94,1832.63,1611.38
54,1568.63,2186.25,1995.19,1227.75,3179.06,1515.56,1832.81,1611.19
55,1568.44,2186.63,1995,1227.94,3179.25,1515,1832.81,1610.63
56,1567.88,2186.44,1995,1227.56,3179.44,1514.44,1832.81,1610.25
57,1567.5,2184,1995,1227.94,3179.63,1513.88,1832.81,1609.88
58,1566.94,2183.25,1995,1227.75,3178.5,1513.13,1832.81,1609.5
59,1566.56,2183.81,1995.19,1228.13,3177.75,1512.94,1833,1609.31
60,1566.38,2184.38,1995.19,1227.75,3177,1512.38,1832.81,1608.75
61,1566,2184.94,1995.19,1228.13,3177,1512,1833,1608.19
62,1565.63,2185.31,1995,1227.94,3177.19,1511.25,1833,1607.81
63,1565.25,2185.69,1995,1228.13,3177.38,1510.69,1832.81,1607.25
64,1564.88,2185.69,1994.81,1227.56,3177.38,1509.94,1832.81,1606.5
65,1564.13,2185.88,1994.81,1227.94,3177.19,1509.38,1833,1606.13
66,1563.75,2185.69,1994.81,1228.13,3177.38,1509,1832.81,1605.56
67,1563.38,2186.06,1994.81,1228.13,3177,1508.25,1832.81,1605.19
68,1563,2186.06,1994.81,1227.75,3177.38,1507.69,1832.81,1604.63
69,1562.63,2186.06,1994.63,1228.31,3177.38,1507.13,1832.81,1604.06
70,1562.06,2186.25,1994.63,1227.94,3177.38,1506.56,1832.81,1603.69
71,1557.38,2179.5,1989.38,1223.25,3169.13,1501.69,1827.56,1598.06
72,1563,2108.44,2235.56,1211.06,3182.25,1501.69,1824.75,1610.06
73,1639.69,2010.56,2810.25,1180.5,3323.63,1554.75,1840.69,1755.75
74,1766.81,1953.94,3095.81,1154.06,3388.13,1654.69,1837.13,1920.94
75,1874.25,1919.81,3225.75,1133.06,3395.25,1736.06,1818.19,2001.38
76,1941.19,1900.13,3279.75,1118.63,3389.25,1783.13,1795.13,2031
77,1977.19,1890.94,3306.38,1108.31,3377.81,1806.19,1773.38,2035.13
78,1993.5,1884.94,3307.5,1100.81,3364.13,1813.69,1754.63,2027.44
79,1998.19,1881.38,3307.69,1094.44,3352.5,1811.81,1738.88,2014.5
80,1996.13,1880.44,3307.31,1090.69,3339,1804.5,1725.75,2000.06
81,1990.13,1880.06,3300.94,1087.31,3331.13,1794,1714.88,1986.38
82,1982.06,1880.25,3295.88,1084.5,3324.56,1782.19,1706.44,1973.81
83,1973.25,1880.25,3286.31,1081.69,3316.88,1769.81,1698.94,1962.56
84,1964.63,1879.69,3282.56,1080,3306.56,1757.63,1692.56,1952.63
85,1956.38,1878.56,3277.13,1078.13,3303.19,1745.63,1687.13,1943.44
86,1947.75,1878.19,3270.38,1076.81,3295.5,1734.19,1682.06,1935.19
87,1940.81,1878,3264.94,1074.56,3290.06,1723.31,1677.75,1927.5
88,1933.5,1877.44,3260.81,1073.81,3283.69,1713,1673.63,1920
89,1927.13,1877.25,3254.81,1072.13,3278.63,1703.25,1669.5,1913.44
90,1920.94,1875.19,3246.38,1071.56,3273.94,1694.25,1665.94,1907.25
91,1915.13,1874.81,3243,1070.06,3268.88,1685.81,1662.56,1901.25
92,1909.88,1874.06,3240.56,1069.13,3264.56,1677.94,1659.56,1895.44
93,1905,1873.88,3236.63,1068.38,3262.69,1670.44,1656.56,1890.19
94,1900.88,1874.44,3234.56,1068,3257.25,1663.69,1654.5,1885.69
95,1896.56,1875.19,3231.75,1067.25,3256.5,1657.5,1652.63,1881.38
96,1893.19,1876.31,3228.56,1067.25,3254.81,1651.69,1650.75,1877.44
97,1889.81,1877.81,3224.06,1067.06,3251.44,1646.25,1649.06,1874.44
98,1886.81,1877.81,3220.13,1067.25,3250.13,1641.38,1647.75,1871.25
99,1884,1878.56,3219,1066.69,3245.63,1636.69,1646.63,1868.06
100,1881.19,1878.56,3217.13,1066.31,3243.56,1632,1645.31,1864.69
101,1878.75,1878.19,3213.56,1066.5,3241.69,1627.5,1644,1861.5
102,1876.13,1878.38,3208.69,1066.31,3239.81,1623.56,1642.88,1858.13
103,1873.69,1878.38,3205.88,1065.56,3233.81,1619.81,1641.38,1855.31
104,1871.06,1877.06,3199.13,1065.38,3231.19,1615.88,1640.25,1852.13
105,1868.63,1875.56,3194.81,1065.19,3229.88,1611.94,1638.38,1848.75
106,1866.19,1875.75,3191.63,1064.81,3224.44,1608,1637.06,1845.75
107,1863.94,1875,3188.81,1063.88,3223.88,1604.81,1635.75,1842.94
108,1861.88,1875.75,3186.19,1064.63,3221.81,1601.25,1634.63,1840.31
109,1860,1875.94,3183.75,1064.63,3219.19,1598.44,1633.88,1837.69
110,1858.13,1875.56,3181.69,1064.06,3219.38,1595.44,1633.13,1835.44
111,1856.44,1875.38,3178.5,1063.5,3216.75,1592.63,1632,1833.38
112,1854.94,1875,3176.06,1063.88,3214.69,1590.19,1631.06,1831.5
113,1853.44,1875,3172.69,1063.69,3212.63,1587.56,1630.13,1829.25
114,1851.38,1875.38,3169.69,1063.31,3210,1584.94,1629.38,1826.81
115,1850.06,1875.38,3167.06,1063.31,3209.81,1582.13,1628.63,1824.56
116,1848.38,1876.69,3165.38,1063.69,3207.94,1579.88,1627.69,1822.31
117,1847.06,1876.88,3164.44,1063.5,3205.69,1577.63,1627.13,1820.44
118,1845.38,1877.25,3161.63,1063.31,3205.13,1575.38,1626.75,1818.56
119,1844.06,1876.69,3159.75,1062.75,3204,1573.31,1626,1816.88
120,1842.75,1876.88,3158.25,1062.75,3201,1570.88,1625.63,1815.38
121,1841.25,1876.5,3155.81,1062.56,3200.81,1568.81,1624.5,1813.13
122,1839.56,1876.5,3152.63,1062.75,3197.81,1566.75,1623.94,1811.44
123,1838.06,1876.69,3148.5,1061.81,3196.13,1564.69,1623.38,1809.38
124,1836.94,1876.5,3147.19,1062.75,3195.94,1562.81,1622.63,1807.5
125,1835.25,1876.31,3145.69,1062.19,3195,1560.94,1621.88,1805.63
126,1833.94,1875.94,3144,1062.38,3192.38,1559.25,1621.69,1804.13
127,1832.63,1875.19,3141.75,1061.81,3191.25,1557.19,1620.94,1802.44
128,1831.13,1875.19,3140.06,1061.81,3188.44,1555.13,1620.19,1800.38
129,1829.81,1875.56,3139.13,1062,3187.69,1553.63,1619.63,1798.5
130,1828.69,1875.19,3135.19,1062,3186.75,1551.56,1619.44,1797.19
131,1827.56,1876.13,3132.56,1061.63,3184.88,1550.06,1618.88,1795.69
132,1826.44,1874.81,3131.25,1062,3183.56,1548.56,1618.31,1794.19
133,1825.5,1874.25,3128.06,1061.06,3182.81,1547.06,1617.56,1792.5
134,1824.19,1873.5,3123,1061.06,3180.19,1545.38,1617.19,1790.81
135,1823.63,1873.88,3121.5,1060.88,3179.81,1543.88,1616.63,1790.06
136,1822.5,1874.44,3120.75,1061.25,3178.31,1543.13,1616.63,1788.94
137,1821.94,1873.69,3119.44,1061.06,3177.94,1541.63,1616.06,1788
