time_seconds,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
1,1330.88,2118,1960.69,1189.5,3115.69,1180.5,1748.81,1331.63
2,1330.69,2118.19,1960.69,1189.5,3115.5,1180.31,1749,1331.63
3,1330.69,2118.19,1960.69,1189.5,3115.88,1180.13,1749.19,1331.25
4,1330.5,2118.38,1960.5,1189.69,3115.69,1179.94,1749,1331.25
5,1330.31,2118.38,1960.69,1190.06,3115.88,1179.75,1749.19,1331.06
6,1330.13,2118.56,1960.5,1190.25,3115.88,1179.56,1749.19,1331.06
7,1329.94,2118.38,1960.5,1189.88,3115.88,1179.56,1749.19,1331.06
8,1329.75,2118.38,1960.69,1190.06,3115.88,1179.38,1749.19,1330.88
9,1329.75,2118.38,1960.5,1190.06,3116.25,1179.38,1749.19,1331.06
10,1329.75,2118,1960.69,1190.25,3115.88,1179.38,1749.19,1330.88
11,1329.75,2118.19,1960.88,1189.88,3115.88,1179.38,1749.56,1331.06
12,1329.56,2118.19,1960.69,1190.25,3115.69,1179.19,1749.56,1330.69
13,1329.56,2118.19,1960.88,1190.25,3115.69,1179,1749.38,1331.06
14,1329.38,2118.38,1960.88,1190.44,3115.5,1178.81,1749.38,1330.5
15,1329.38,2118.75,1960.69,1190.06,3115.69,1178.81,1749.38,1330.31
16,1329.38,2118.75,1960.69,1190.25,3115.69,1178.81,1749.38,1330.31
17,1329.19,2118.75,1960.69,1190.06,3115.88,1178.81,1749.38,1330.5
18,1329,2118.75,1960.5,1190.25,3115.69,1178.63,1749.38,1330.5
19,1329,2118.75,1960.5,1190.06,3115.69,1178.63,1749.38,1330.31
20,1328.81,2118.75,1960.69,1190.25,3115.69,1178.44,1749.38,1330.13
21,1328.81,2118.94,1960.69,1190.25,3115.88,1178.44,1749.56,1330.13
22,1328.63,2118.75,1960.69,1190.44,3115.69,1178.44,1749.38,1329.94
23,1328.44,2118.94,1960.69,1190.06,3116.06,1178.25,1749.75,1329.94
24,1328.25,2119.13,1960.69,1190.44,3116.06,1178.25,1749.38,1329.94
25,1328.44,2119.31,1960.69,1190.25,3116.06,1177.88,1749.38,1330.13
26,1328.25,2119.5,1960.5,1190.44,3116.25,1178.06,1749.38,1329.56
27,1328.25,2119.5,1960.69,1190.25,3116.25,1177.88,1749.38,1329.56
28,1328.06,2119.5,1960.5,1190.25,3116.44,1177.69,1749.38,1329.75
29,1327.88,2119.5,1960.69,1190.44,3116.81,1177.69,1749.56,1329.75
30,1327.69,2118.94,1960.69,1190.63,3116.63,1177.69,1749.38,1329.56
31,1327.88,2118.94,1960.69,1190.25,3116.44,1177.5,1749.75,1329.56
32,1327.69,2119.13,1960.69,1190.44,3116.06,1177.5,1749.75,1329.56
33,1327.69,2119.13,1960.69,1190.44,3115.88,1177.5,1749.75,1329.75
34,1327.69,2119.31,1960.69,1190.81,3115.69,1177.31,1749.56,1329.38
35,1327.69,2119.5,1960.69,1190.25,3116.06,1177.31,1749.75,1329.56
36,1327.5,2119.69,1960.69,1190.81,3115.69,1177.13,1749.75,1329.38
37,1327.31,2119.5,1960.69,1190.63,3116.06,1177.13,1749.94,1329.38
38,1327.31,2119.69,1960.5,1190.81,3115.69,1176.94,1749.94,1329.38
39,1327.31,2119.69,1960.31,1190.44,3115.88,1176.94,1749.94,1329.38
40,1327.31,2119.88,1960.5,1190.25,3116.06,1176.94,1749.94,1329.38
