timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
0,1755,945,1620,1095,1398,1803,1254,2025
1,1752,945,1620,1089,1395,1800,1251,2019
2,1749,942,1617,1086,1392,1794,1245,2013
3,1743,939,1617,1083,1383,1791,1242,2010
4,1743,936,1614,1080,1383,1785,1239,2004
5,1740,936,1614,1077,1380,1779,1236,1998
6,1701,921,1602,1062,1371,1743,1206,1962
7,1692,921,1635,1056,1401,1731,1197,1953
8,1692,924,1674,1050,1443,1728,1200,1947
9,1689,927,1710,1047,1479,1722,1203,1947
10,1686,930,1737,1047,1515,1722,1209,1947
11,1683,933,1758,1047,1539,1719,1209,1950
12,1686,933,1776,1044,1563,1722,1215,1956
13,1689,936,1794,1044,1587,1725,1218,1959
14,1689,939,1809,1041,1602,1725,1221,1962
15,1689,942,1818,1041,1620,1725,1221,1962
16,1692,942,1830,1041,1629,1728,1224,1971
17,1692,942,1836,1041,1641,1734,1227,1977
18,1695,945,1842,1041,1653,1734,1230,1977
19,1692,948,1851,1044,1662,1737,1230,1980
20,1695,945,1857,1041,1665,1737,1230,1986
21,1698,945,1857,1041,1674,1740,1230,1986
22,1698,945,1863,1038,1683,1743,1233,1989
23,1698,948,1872,1038,1686,1743,1230,1989
24,1701,945,1875,1041,1692,1743,1233,1992
25,1704,945,1875,1038,1698,1746,1236,1992
26,1704,945,1881,1038,1701,1746,1230,1995
27,1701,945,1884,1041,1704,1746,1233,1992
28,1704,945,1881,1038,1704,1749,1233,1998
29,1704,945,1887,1041,1710,1746,1230,1995
30,1704,945,1890,1038,1707,1746,1230,1998
31,1704,945,1893,1035,1713,1749,1230,1998
32,1704,945,1896,1038,1713,1749,1230,1995
33,1704,945,1896,1038,1713,1749,1227,2001
34,1707,945,1902,1032,1716,1752,1230,1998
35,1704,945,1902,1038,1716,1749,1230,2001
36,1710,945,1902,1032,1719,1749,1230,2004
37,1707,945,1908,1035,1722,1752,1230,2001
38,1707,945,1911,1035,1722,1749,1230,2001
39,1713,945,1908,1038,1725,1752,1230,2007
40,1713,942,1911,1035,1725,1755,1233,2007
41,1710,945,1917,1035,1728,1755,1230,2004
42,1710,945,1917,1035,1728,1755,1230,2007
43,1713,945,1917,1032,1728,1758,1230,2007
44,1716,945,1914,1035,1728,1758,1230,2010
45,1713,942,1914,1035,1725,1755,1227,2010
46,1716,942,1920,1035,1725,1758,1230,2007
47,1716,942,1914,1035,1722,1758,1227,2010
48,1713,942,1920,1035,1725,1758,1230,2010
49,1716,936,1917,1032,1719,1755,1227,2010
50,1716,936,1920,1032,1722,1758,1227,2013
51,1713,939,1923,1035,1722,1758,1224,2010
52,1716,939,1920,1032,1719,1758,1224,2013
53,1719,936,1920,1032,1722,1761,1227,2013
54,1719,939,1923,1029,1722,1758,1227,2013
55,1719,939,1923,1029,1725,1761,1224,2010
56,1716,939,1923,1029,1731,1761,1224,2013
57,1719,936,1923,1032,1731,1761,1224,2016
58,1719,936,1926,1029,1725,1761,1221,2016
59,1719,939,1926,1029,1728,1758,1221,2013
60,1716,939,1926,1032,1731,1758,1221,2013
61,1722,936,1926,1029,1734,1761,1224,2013
62,1716,939,1929,1029,1731,1758,1221,2010
63,1719,939,1923,1029,1728,1761,1221,2016
64,1719,936,1926,1029,1731,1758,1221,2010
65,1719,936,1929,1026,1728,1758,1221,2016
66,1719,936,1929,1029,1731,1758,1221,2016
67,1722,936,1926,1026,1728,1758,1221,2016
68,1719,936,1929,1029,1731,1758,1218,2013
69,1719,936,1929,1029,1731,1761,1218,2013
70,1722,933,1929,1026,1731,1761,1221,2016
71,1719,933,1929,1026,1728,1758,1218,2016
72,1722,933,1929,1026,1728,1764,1218,2016
73,1719,933,1929,1026,1728,1758,1218,2013
74,1722,933,1932,1023,1731,1764,1218,2016
75,1722,933,1929,1026,1725,1758,1218,2016
76,1722,933,1929,1026,1725,1761,1215,2016
77,1725,933,1929,1023,1734,1761,1218,2016
78,1722,933,1929,1023,1728,1761,1218,2013
79,1722,933,1929,1023,1731,1761,1215,2013
80,1719,933,1932,1026,1728,1761,1215,2013
81,1722,930,1929,1026,1728,1758,1215,2016
82,1722,930,1929,1023,1731,1758,1215,2013
83,1719,933,1929,1023,1731,1758,1215,2013
84,1722,933,1932,1023,1731,1761,1215,2016
85,1722,930,1932,1023,1725,1761,1212,2016
86,1725,930,1929,1023,1725,1761,1215,2019
87,1725,930,1929,1023,1731,1764,1215,2016
88,1725,930,1935,1023,1731,1764,1215,2016
89,1722,930,1932,1023,1728,1761,1215,2016
90,1722,930,1932,1020,1725,1761,1212,2016
91,1725,930,1932,1023,1728,1758,1212,2013
92,1722,930,1935,1023,1728,1761,1212,2016
93,1728,930,1932,1017,1731,1764,1215,2016
94,1725,927,1926,1020,1725,1761,1212,2019
95,1725,927,1929,1020,1728,1761,1212,2013
96,1725,927,1932,1017,1728,1764,1212,2019
97,1722,927,1929,1020,1728,1761,1209,2016
98,1725,924,1929,1017,1734,1764,1212,2016
99,1725,927,1926,1020,1728,1761,1209,2019
100,1725,927,1929,1017,1734,1761,1212,2016
101,1725,927,1929,1020,1734,1761,1209,2013
102,1722,924,1929,1020,1731,1758,1209,2013
103,1725,924,1929,1020,1731,1758,1209,2016
104,1725,927,1929,1017,1725,1758,1209,2016
105,1722,927,1932,1017,1725,1758,1206,2016
106,1725,924,1932,1020,1728,1758,1209,2013
107,1722,924,1932,1014,1728,1761,1206,2016
108,1725,921,1929,1011,1725,1761,1209,2016
109,1725,921,1926,1017,1722,1758,1206,2016
110,1725,921,1929,1014,1719,1761,1209,2016
111,1728,921,1929,1014,1722,1761,1209,2016
112,1728,918,1926,1014,1719,1761,1209,2016
113,1725,921,1926,1017,1719,1758,1206,2013
114,1725,921,1926,1014,1722,1761,1206,2013
115,1722,918,1926,1014,1719,1755,1203,2016
116,1728,921,1926,1017,1719,1758,1203,2016
117,1725,921,1923,1014,1719,1758,1203,2016
118,1725,918,1923,1014,1722,1758,1203,2013
119,1722,918,1926,1014,1725,1758,1203,2013
120,1725,921,1929,1011,1725,1761,1203,2013
121,1728,915,1923,1011,1722,1761,1206,2016
122,1722,921,1926,1014,1722,1758,1203,2013
123,1725,918,1926,1011,1722,1758,1203,2013
124,1725,918,1923,1011,1719,1761,1203,2016
125,1725,918,1926,1014,1722,1755,1203,2010
126,1728,915,1920,1011,1722,1761,1203,2016
127,1725,918,1926,1014,1719,1755,1203,2010
128,1728,915,1920,1011,1716,1758,1203,2016
129,1725,918,1926,1014,1719,1758,1203,2010
130,1725,918,1926,1011,1719,1755,1200,2013
131,1728,915,1923,1011,1719,1758,1200,2013
132,1725,918,1926,1011,1719,1758,1203,2013
133,1722,918,1926,1011,1716,1755,1200,2010
134,1725,915,1920,1014,1713,1755,1200,2013
135,1725,915,1920,1011,1719,1758,1200,2016
136,1728,915,1923,1008,1719,1758,1200,2013
137,1722,915,1920,1011,1716,1755,1200,2010
138,1725,912,1917,1008,1713,1758,1197,2016
139,1725,915,1923,1008,1716,1755,1200,2010
140,1725,912,1917,1011,1710,1755,1197,2013
141,1722,912,1920,1008,1713,1752,1197,2007
142,1725,912,1923,1008,1716,1758,1197,2010
143,1725,912,1917,1008,1716,1758,1197,2013
144,1725,912,1920,1005,1716,1755,1197,2010
145,1722,912,1920,1008,1716,1755,1197,2007
146,1725,909,1917,1008,1713,1755,1197,2013
