timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
0,1704,876,1569,1008,1281,1722,1173,1947
1,1701,876,1569,1008,1281,1716,1167,1944
2,1698,876,1569,1005,1281,1716,1164,1941
3,1698,873,1566,1002,1278,1710,1164,1938
4,1692,873,1569,999,1278,1710,1164,1935
5,1692,873,1566,996,1272,1707,1161,1932
6,1656,861,1563,981,1272,1671,1134,1896
7,1650,867,1599,978,1317,1662,1128,1887
8,1644,876,1641,975,1362,1656,1131,1884
9,1641,879,1677,975,1401,1653,1134,1884
10,1641,882,1704,975,1428,1653,1140,1890
11,1641,888,1731,975,1455,1653,1149,1893
12,1641,888,1749,975,1482,1656,1149,1905
13,1647,894,1764,978,1506,1662,1158,1908
14,1650,894,1779,975,1521,1665,1161,1917
15,1653,894,1788,975,1536,1668,1164,1926
16,1650,897,1800,978,1554,1671,1167,1923
17,1659,897,1809,978,1566,1677,1173,1932
18,1662,900,1815,978,1572,1680,1170,1938
19,1662,900,1821,978,1581,1683,1173,1944
20,1668,903,1824,981,1590,1689,1176,1947
21,1668,903,1833,981,1599,1689,1179,1950
22,1668,906,1839,984,1608,1692,1182,1950
23,1668,909,1845,984,1611,1695,1182,1953
24,1671,909,1851,984,1617,1698,1185,1953
25,1674,909,1854,987,1620,1701,1185,1959
26,1677,912,1857,987,1626,1704,1188,1965
27,1683,909,1857,987,1626,1704,1185,1971
28,1683,912,1866,987,1635,1710,1188,1968
29,1686,912,1869,987,1635,1710,1191,1974
30,1683,912,1869,987,1638,1710,1188,1974
31,1686,909,1869,987,1644,1713,1188,1974
32,1686,912,1875,987,1647,1713,1185,1980
33,1689,912,1875,987,1644,1719,1188,1983
34,1692,912,1878,990,1641,1719,1188,1986
35,1689,912,1881,990,1647,1719,1191,1980
36,1692,912,1884,990,1653,1722,1191,1986
37,1695,912,1881,987,1656,1725,1194,1992
38,1698,915,1887,987,1656,1728,1188,1992
39,1701,915,1890,990,1653,1728,1191,1995
40,1701,912,1887,993,1659,1728,1191,1995
41,1704,915,1893,990,1665,1731,1194,1998
42,1704,915,1890,993,1662,1731,1191,1998
43,1707,915,1896,993,1668,1731,1194,2001
44,1707,915,1893,993,1674,1737,1197,2001
45,1710,918,1902,996,1671,1737,1200,2001
46,1710,918,1902,996,1674,1737,1197,2001
47,1713,918,1902,996,1674,1737,1197,2010
48,1713,921,1908,996,1677,1740,1200,2007
49,1716,918,1905,996,1674,1743,1200,2013
50,1716,921,1914,999,1677,1746,1203,2010
51,1719,918,1908,999,1680,1749,1203,2016
52,1719,918,1917,996,1683,1752,1203,2019
53,1722,921,1914,999,1686,1749,1203,2022
54,1728,921,1911,1002,1686,1755,1203,2025
55,1728,918,1914,999,1692,1755,1209,2022
56,1728,921,1920,1002,1692,1758,1209,2025
57,1728,921,1923,1002,1692,1758,1209,2025
58,1731,921,1920,1002,1689,1761,1212,2028
59,1731,921,1923,1002,1689,1758,1209,2031
60,1731,924,1926,1005,1695,1761,1209,2028
61,1737,924,1926,1008,1698,1767,1212,2034
62,1740,921,1926,1005,1698,1767,1212,2037
63,1737,924,1932,1008,1698,1770,1212,2034
64,1743,921,1929,1005,1695,1770,1212,2040
65,1740,921,1935,1008,1698,1770,1212,2037
66,1746,924,1932,1008,1698,1770,1212,2043
67,1746,924,1935,1008,1701,1776,1215,2043
68,1746,924,1935,1008,1704,1779,1215,2046
69,1749,927,1938,1008,1707,1779,1218,2046
70,1749,927,1938,1011,1710,1779,1215,2046
71,1752,927,1935,1011,1707,1782,1215,2049
72,1752,924,1938,1011,1704,1782,1215,2049
73,1755,924,1935,1011,1704,1782,1215,2052
74,1755,924,1935,1011,1701,1785,1212,2052
75,1752,924,1935,1011,1698,1782,1212,2052
76,1752,924,1935,1011,1695,1779,1209,2052
77,1755,924,1932,1011,1698,1782,1212,2052
78,1755,924,1935,1008,1701,1782,1212,2052
79,1755,924,1935,1011,1701,1785,1212,2052
80,1752,924,1938,1014,1701,1782,1212,2049
81,1758,927,1938,1011,1701,1785,1212,2055
82,1758,927,1938,1011,1698,1785,1212,2058
83,1758,924,1941,1014,1704,1785,1215,2052
84,1761,927,1938,1014,1707,1788,1215,2058
85,1761,924,1941,1014,1707,1791,1215,2058
