timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
0,1635,870,1497,963,1293,1659,1152,1893
1,1635,867,1497,960,1287,1656,1152,1890
2,1632,867,1494,960,1281,1653,1149,1887
3,1629,867,1494,957,1275,1650,1146,1884
4,1626,864,1494,954,1275,1647,1143,1881
5,1596,846,1461,951,1251,1617,1122,1851
6,1593,855,1494,942,1272,1611,1119,1842
7,1587,861,1539,939,1323,1602,1113,1839
8,1584,867,1581,933,1371,1599,1116,1836
9,1581,870,1617,933,1404,1596,1119,1842
10,1581,876,1653,933,1452,1599,1128,1842
11,1584,879,1674,933,1482,1599,1131,1851
12,1584,882,1698,933,1509,1602,1137,1851
13,1590,885,1716,930,1518,1608,1143,1860
14,1590,888,1734,933,1539,1608,1146,1866
15,1596,888,1743,933,1551,1611,1149,1872
16,1596,894,1758,933,1566,1617,1152,1878
17,1596,894,1764,936,1572,1617,1152,1881
18,1599,894,1773,936,1578,1620,1155,1887
19,1602,894,1776,933,1584,1626,1158,1890
20,1602,897,1788,936,1593,1629,1158,1893
21,1605,897,1794,936,1593,1629,1161,1899
22,1611,900,1797,936,1599,1635,1161,1902
23,1611,900,1806,936,1605,1635,1164,1905
24,1611,903,1809,936,1611,1638,1164,1908
25,1614,903,1812,939,1614,1641,1164,1911
26,1614,903,1821,939,1617,1644,1164,1914
27,1617,903,1824,939,1617,1644,1164,1917
28,1617,903,1827,939,1623,1644,1164,1917
29,1617,903,1830,939,1626,1647,1167,1914
30,1620,903,1833,939,1629,1650,1167,1917
31,1620,906,1836,939,1629,1647,1164,1920
32,1623,903,1839,939,1632,1650,1167,1920
33,1620,906,1845,939,1632,1650,1167,1920
34,1623,906,1842,939,1632,1653,1167,1926
35,1623,906,1848,939,1638,1653,1167,1923
36,1626,906,1845,939,1638,1656,1170,1929
37,1623,909,1851,939,1638,1656,1167,1929
38,1629,906,1854,939,1641,1659,1170,1929
39,1629,909,1854,942,1641,1659,1170,1929
40,1632,909,1854,942,1635,1662,1167,1935
41,1629,909,1860,942,1635,1659,1170,1932
42,1635,909,1857,942,1635,1665,1170,1938
43,1632,912,1866,942,1638,1662,1170,1935
44,1635,909,1860,942,1638,1665,1170,1938
45,1635,912,1863,945,1641,1665,1170,1938
46,1638,909,1863,942,1638,1668,1173,1941
47,1635,912,1872,942,1641,1668,1173,1938
48,1641,909,1866,942,1644,1671,1173,1941
49,1641,912,1869,942,1647,1671,1173,1941
50,1644,909,1869,942,1647,1671,1173,1944
51,1641,912,1872,945,1644,1671,1173,1944
52,1644,909,1872,945,1641,1674,1173,1947
53,1644,915,1872,945,1641,1674,1173,1947
54,1647,912,1875,945,1641,1677,1173,1950
55,1644,912,1875,945,1647,1677,1173,1950
56,1647,912,1875,945,1638,1677,1173,1950
57,1650,912,1875,945,1638,1680,1173,1953
58,1650,912,1875,945,1641,1680,1176,1953
59,1647,912,1881,945,1641,1680,1176,1953
60,1653,912,1878,945,1641,1683,1176,1956
61,1650,915,1878,948,1644,1680,1176,1953
62,1653,912,1878,945,1644,1683,1173,1956
63,1653,915,1881,945,1650,1683,1176,1956
64,1653,915,1881,945,1650,1683,1176,1956
65,1650,912,1881,948,1644,1683,1173,1953
66,1656,912,1878,948,1641,1686,1173,1959
67,1659,912,1881,945,1644,1686,1176,1959
68,1656,915,1884,945,1650,1686,1176,1956
69,1656,912,1881,948,1650,1686,1176,1959
70,1656,915,1884,945,1650,1686,1176,1956
71,1659,915,1884,948,1650,1686,1176,1956
72,1656,915,1884,948,1650,1686,1176,1956
73,1656,915,1884,948,1647,1686,1173,1959
74,1659,915,1884,948,1650,1686,1173,1962
75,1659,915,1884,948,1647,1686,1173,1959
76,1659,915,1887,948,1647,1686,1173,1962
77,1659,915,1887,948,1653,1689,1176,1959
78,1662,915,1884,948,1650,1692,1176,1962
79,1662,915,1884,948,1653,1692,1176,1962
80,1665,918,1884,948,1650,1689,1176,1965
81,1659,915,1887,948,1647,1692,1176,1962
82,1662,915,1884,948,1647,1692,1176,1965
83,1662,915,1887,948,1647,1689,1173,1962
84,1665,915,1884,948,1650,1689,1176,1965
85,1665,915,1884,945,1653,1692,1176,1965
86,1662,915,1884,948,1650,1692,1176,1965
87,1665,915,1884,948,1650,1692,1173,1965
88,1668,912,1884,945,1650,1695,1176,1965
89,1665,915,1881,948,1647,1692,1176,1968
90,1665,915,1887,948,1650,1695,1176,1965
91,1665,915,1887,948,1650,1695,1176,1965
92,1665,915,1887,948,1653,1695,1176,1965
93,1668,915,1884,948,1650,1695,1176,1968
94,1665,915,1887,948,1650,1695,1176,1965
95,1671,912,1884,948,1650,1695,1173,1968
96,1668,915,1887,948,1650,1698,1176,1968
97,1668,915,1887,948,1647,1695,1173,1965
98,1665,915,1887,948,1647,1692,1173,1965
99,1668,915,1884,948,1650,1692,1173,1968
100,1668,915,1884,948,1650,1698,1176,1965
101,1668,915,1887,948,1653,1695,1176,1965
102,1671,915,1884,948,1647,1695,1173,1971
103,1668,915,1887,948,1653,1695,1176,1971
104,1671,912,1884,948,1653,1698,1176,1968
105,1668,915,1887,948,1653,1698,1176,1968
106,1671,912,1881,948,1653,1698,1173,1971
107,1668,915,1887,945,1653,1698,1176,1968
108,1671,915,1887,948,1650,1698,1176,1968
109,1668,912,1884,948,1647,1698,1173,1971
110,1674,915,1887,948,1650,1698,1173,1971
111,1674,915,1884,948,1650,1698,1173,1971
112,1674,915,1887,948,1653,1701,1176,1971
113,1674,918,1887,948,1659,1698,1176,1971
114,1671,915,1887,948,1656,1698,1176,1968
115,1671,915,1887,948,1653,1698,1173,1968
116,1674,915,1884,948,1659,1698,1173,1971
117,1677,915,1887,948,1653,1698,1176,1971
118,1674,915,1887,948,1656,1701,1173,1974
119,1674,918,1890,948,1656,1698,1176,1971
120,1674,918,1890,948,1653,1701,1176,1971
121,1674,918,1890,948,1656,1701,1176,1971
122,1677,915,1887,948,1653,1704,1179,1974
123,1674,918,1890,948,1653,1701,1176,1971
124,1677,918,1890,948,1653,1704,1176,1971
125,1674,918,1890,951,1656,1701,1176,1977
126,1677,918,1890,948,1662,1701,1176,1971
127,1680,915,1890,948,1662,1704,1176,1974
128,1677,918,1887,951,1659,1701,1176,1974
129,1677,918,1890,951,1659,1701,1176,1977
130,1677,918,1890,951,1659,1701,1176,1974
131,1677,918,1887,948,1665,1704,1179,1974
132,1677,918,1890,948,1659,1704,1176,1977
133,1677,918,1893,951,1662,1701,1176,1974
134,1677,921,1893,951,1662,1704,1176,1974
135,1677,921,1890,951,1662,1701,1176,1974
136,1674,918,1890,951,1665,1701,1176,1974
137,1677,921,1893,951,1665,1701,1176,1974
138,1677,921,1896,951,1665,1704,1179,1974
139,1680,921,1893,948,1662,1707,1179,1977
140,1677,921,1893,951,1662,1704,1176,1974
141,1680,921,1896,948,1665,1704,1179,1977
142,1683,918,1893,951,1662,1704,1179,1980
143,1680,921,1893,951,1662,1707,1179,1977
144,1680,921,1893,951,1659,1707,1179,1974
145,1683,918,1893,951,1665,1710,1182,1980
146,1683,921,1890,951,1665,1707,1179,1980
147,1686,921,1890,951,1665,1707,1179,1980
148,1683,921,1896,951,1665,1710,1182,1980
149,1683,921,1893,951,1668,1707,1179,1980
150,1683,921,1893,951,1671,1710,1179,1980
151,1680,921,1896,951,1668,1707,1179,1980
152,1686,921,1893,951,1671,1707,1179,1980
153,1683,921,1893,951,1671,1707,1182,1977
154,1686,921,1890,951,1671,1707,1179,1983
155,1686,921,1896,951,1674,1710,1182,1980
156,1683,921,1893,954,1671,1710,1182,1980
157,1683,921,1896,954,1671,1707,1182,1980
158,1683,924,1893,951,1668,1707,1179,1980
159,1686,924,1890,954,1671,1710,1179,1983
160,1686,921,1893,951,1674,1710,1182,1983
161,1683,924,1896,951,1671,1710,1182,1980
162,1686,924,1893,951,1668,1710,1179,1983
163,1686,924,1896,954,1671,1710,1182,1983
164,1683,924,1896,954,1674,1710,1182,1983
165,1689,921,1890,951,1671,1713,1179,1983
166,1686,924,1896,954,1668,1710,1185,1980
167,1689,924,1893,954,1671,1710,1182,1983
168,1689,921,1890,951,1671,1713,1182,1983
169,1686,924,1896,954,1674,1710,1182,1980
170,1689,921,1893,954,1674,1713,1185,1983
171,1686,924,1899,951,1680,1713,1185,1983
172,1689,924,1902,954,1683,1713,1188,1983
173,1689,927,1908,957,1695,1713,1191,1986
174,1698,927,1920,963,1713,1722,1203,1998
175,1704,933,1950,969,1746,1728,1221,2007
176,1719,939,1968,978,1767,1743,1242,2025
177,1734,945,1989,990,1800,1761,1266,2046
178,1749,951,2010,999,1809,1773,1278,2061
179,1761,951,2010,1008,1815,1788,1284,2079
180,1770,948,2010,1011,1812,1803,1284,2094
181,1776,954,2022,1017,1821,1812,1287,2103
182,1785,957,2031,1023,1827,1821,1293,2112
183,1797,960,2043,1029,1839,1833,1296,2127
184,1809,960,2049,1035,1845,1845,1305,2139
185,1818,963,2055,1038,1851,1854,1311,2145
186,1821,966,2055,1044,1851,1863,1308,2154
187,1827,966,2049,1047,1845,1866,1305,2160
188,1833,966,2049,1047,1842,1875,1302,2166
189,1836,963,2046,1050,1827,1875,1296,2166
190,1839,960,2034,1050,1818,1884,1287,2169
191,1839,960,2028,1047,1809,1884,1281,2166
192,1842,960,2025,1047,1806,1878,1278,2163
193,1839,957,2019,1047,1803,1881,1272,2163
194,1836,957,2019,1047,1797,1881,1272,2160
195,1836,957,2013,1044,1797,1878,1266,2157
196,1836,957,2013,1044,1797,1878,1266,2154
197,1836,957,2013,1041,1794,1875,1263,2151
198,1836,957,2007,1044,1791,1875,1263,2154
199,1833,960,2010,1047,1791,1872,1260,2151
200,1833,960,2010,1047,1794,1872,1260,2148
201,1833,960,2013,1047,1797,1872,1263,2148
202,1836,960,2013,1044,1794,1872,1266,2148
203,1836,960,2007,1047,1794,1872,1263,2151
204,1836,960,2013,1044,1797,1875,1266,2151
205,1836,960,2010,1047,1794,1872,1263,2151
206,1836,963,2010,1047,1797,1875,1263,2148
207,1836,957,2007,1047,1791,1875,1263,2148
208,1836,960,2007,1047,1794,1872,1260,2145
209,1836,960,2004,1047,1791,1875,1260,2148
210,1836,960,2004,1047,1791,1875,1260,2145
211,1836,960,2001,1047,1785,1869,1257,2142
212,1836,957,2001,1044,1791,1872,1257,2142
213,1833,960,1998,1047,1788,1869,1254,2145
214,1833,957,2001,1044,1785,1869,1254,2139
215,1836,957,1989,1044,1773,1869,1251,2139
216,1830,957,1992,1044,1776,1863,1248,2136
217,1827,957,1989,1041,1776,1866,1248,2133
218,1827,954,1983,1041,1767,1866,1245,2133
219,1830,954,1980,1038,1764,1860,1242,2130
220,1824,954,1977,1035,1761,1860,1239,2124
221,1824,954,1974,1035,1761,1857,1236,2124
222,1821,954,1977,1035,1758,1857,1239,2121
223,1821,954,1971,1035,1758,1854,1236,2118
224,1818,954,1977,1032,1758,1848,1236,2115
225,1815,954,1971,1035,1758,1848,1233,2115
226,1818,954,1974,1029,1761,1848,1236,2112
227,1818,951,1971,1032,1758,1848,1233,2112
228,1815,954,1971,1032,1761,1845,1233,2109
229,1812,957,1974,1032,1764,1842,1236,2112
230,1812,954,1974,1032,1761,1845,1236,2106
231,1812,954,1974,1032,1761,1842,1236,2112
232,1812,954,1974,1032,1764,1845,1239,2109
233,1812,954,1974,1032,1764,1842,1239,2106
234,1815,954,1971,1029,1764,1845,1239,2112
235,1815,954,1968,1029,1767,1845,1239,2109
236,1815,954,1968,1029,1767,1845,1236,2109
237,1815,954,1968,1029,1764,1842,1236,2109
238,1812,954,1968,1032,1764,1845,1236,2109
239,1812,954,1971,1029,1767,1842,1239,2106
240,1809,954,1974,1032,1764,1839,1239,2106
241,1809,957,1974,1032,1767,1839,1239,2106
242,1809,957,1977,1032,1770,1842,1242,2106
243,1815,957,1977,1032,1770,1842,1242,2109
244,1812,957,1980,1035,1770,1842,1242,2109
245,1812,957,1983,1032,1779,1842,1245,2109
246,1815,957,1977,1035,1779,1845,1245,2112
247,1818,957,1980,1035,1779,1848,1245,2112
248,1818,957,1986,1035,1788,1848,1251,2115
249,1815,960,1986,1038,1785,1845,1248,2115
250,1818,960,1980,1038,1785,1848,1248,2118
251,1821,957,1980,1038,1782,1851,1251,2118
252,1818,960,1983,1038,1782,1851,1251,2115
253,1818,960,1980,1038,1779,1848,1245,2118
254,1821,957,1980,1035,1785,1851,1248,2115
255,1818,960,1983,1038,1779,1848,1248,2115
256,1818,960,1983,1035,1785,1848,1245,2115
257,1821,957,1980,1038,1779,1851,1245,2121
258,1818,960,1983,1035,1788,1851,1248,2115
259,1818,960,1986,1038,1782,1848,1248,2115
260,1821,960,1986,1038,1785,1854,1251,2121
261,1818,963,1986,1038,1785,1851,1248,2118
262,1824,960,1980,1038,1782,1851,1248,2121
263,1824,957,1980,1038,1779,1854,1248,2121
264,1824,957,1977,1035,1779,1854,1245,2121
265,1824,957,1974,1038,1776,1851,1242,2118
266,1818,957,1974,1038,1773,1848,1242,2115
267,1818,957,1971,1035,1776,1848,1242,2112
268,1818,957,1971,1035,1770,1845,1239,2115
269,1818,957,1971,1032,1773,1848,1239,2109
270,1815,957,1968,1032,1770,1842,1236,2109
271,1815,957,1968,1032,1776,1845,1239,2109
272,1815,957,1977,1032,1779,1845,1239,2106
273,1812,960,1977,1032,1779,1839,1239,2106
274,1815,960,1977,1032,1785,1845,1242,2109
275,1815,957,1977,1032,1782,1845,1242,2109
276,1815,960,1977,1032,1785,1845,1245,2109
277,1815,960,1980,1035,1788,1845,1245,2109
278,1815,960,1983,1035,1785,1845,1245,2109
279,1815,960,1986,1038,1788,1845,1248,2112
280,1818,963,1986,1035,1794,1842,1248,2112
281,1821,963,1983,1038,1794,1845,1248,2118
282,1821,963,1983,1041,1794,1848,1251,2118
283,1824,963,1986,1038,1794,1848,1251,2121
284,1824,963,1989,1041,1797,1854,1254,2121
285,1827,963,1989,1041,1797,1854,1254,2121
286,1827,963,1995,1038,1803,1854,1257,2121
287,1824,966,1998,1038,1803,1857,1257,2121
288,1827,966,1995,1041,1803,1860,1257,2124
289,1827,966,1995,1044,1806,1854,1257,2127
290,1827,969,1998,1044,1809,1857,1257,2124
291,1827,969,1998,1044,1809,1857,1260,2127
292,1830,969,1998,1047,1806,1857,1260,2130
293,1827,969,2001,1047,1809,1860,1260,2127
294,1830,969,2001,1047,1809,1860,1260,2127
295,1851,981,2022,1059,1830,1881,1272,2151
296,1866,978,2019,1059,1821,1896,1287,2163
297,1875,975,2010,1065,1809,1908,1290,2175
298,1878,975,2004,1065,1797,1911,1293,2178
299,1881,972,2001,1068,1788,1914,1290,2178
300,1884,972,2001,1065,1779,1914,1290,2178
301,1887,969,1995,1068,1770,1917,1287,2178
302,1884,969,1995,1065,1761,1917,1284,2175
303,1887,966,1989,1065,1752,1914,1281,2172
304,1884,966,1986,1065,1743,1914,1278,2169
305,1827,933,1920,1056,1689,1848,1239,2109
306,1797,936,1944,1029,1683,1827,1203,2073
307,1773,939,1941,1017,1674,1800,1191,2055
308,1761,939,1935,1017,1671,1788,1182,2040
309,1755,939,1926,1014,1665,1773,1182,2037
310,1752,939,1923,1014,1665,1770,1179,2025
311,1749,942,1917,1011,1662,1767,1182,2025
312,1743,945,1908,1011,1656,1764,1185,2028
313,1743,942,1908,1011,1647,1770,1185,2022
314,1749,945,1896,1014,1650,1764,1191,2025
315,1749,945,1890,1014,1644,1767,1191,2025
316,1746,951,1884,1014,1641,1770,1197,2034
317,1746,951,1884,1014,1638,1779,1200,2031
318,1749,951,1881,1020,1638,1779,1200,2034
319,1752,951,1869,1023,1638,1779,1203,2037
320,1755,951,1869,1023,1638,1785,1203,2034
321,1755,957,1860,1026,1632,1779,1209,2043
322,1758,954,1857,1026,1632,1785,1206,2037
323,1758,954,1854,1026,1632,1788,1209,2037
324,1758,957,1848,1026,1629,1785,1212,2046
325,1755,957,1851,1029,1623,1791,1212,2043
326,1755,963,1842,1029,1620,1794,1218,2049
327,1764,960,1839,1035,1623,1791,1215,2043
328,1761,966,1836,1035,1620,1791,1221,2052
329,1764,966,1842,1035,1623,1794,1221,2046
330,1761,966,1830,1038,1620,1791,1224,2055
331,1761,963,1836,1038,1617,1800,1224,2049
332,1764,969,1833,1038,1617,1800,1227,2055
333,1764,969,1827,1047,1617,1800,1227,2058
334,1767,972,1824,1047,1617,1797,1230,2058
335,1767,972,1824,1047,1617,1797,1230,2058
336,1764,975,1824,1044,1614,1803,1230,2058
337,1764,975,1824,1044,1611,1803,1230,2058
338,1767,969,1824,1050,1611,1806,1230,2055
339,1770,975,1815,1050,1608,1803,1233,2061
340,1770,972,1812,1053,1611,1806,1230,2055
341,1767,978,1812,1050,1605,1803,1233,2061
342,1764,972,1812,1050,1602,1809,1233,2058
343,1764,972,1806,1053,1602,1809,1233,2058
344,1764,972,1803,1053,1596,1809,1236,2061
345,1764,972,1800,1053,1596,1809,1233,2058
346,1770,969,1791,1059,1596,1806,1233,2064
347,1770,969,1794,1059,1596,1809,1230,2055
348,1770,975,1788,1059,1596,1803,1236,2061
349,1767,972,1794,1056,1587,1809,1236,2058
350,1767,969,1791,1059,1587,1809,1233,2055
351,1767,978,1785,1059,1587,1806,1239,2064
352,1770,972,1788,1059,1590,1809,1236,2055
353,1770,969,1785,1062,1590,1809,1236,2055
354,1767,972,1779,1062,1587,1803,1236,2061
355,1764,975,1782,1062,1584,1806,1236,2061
356,1770,972,1782,1065,1587,1809,1236,2055
357,1767,978,1779,1062,1584,1806,1239,2061
358,1767,975,1782,1065,1590,1809,1236,2055
359,1767,975,1773,1065,1584,1806,1239,2061
360,1767,975,1770,1068,1584,1806,1239,2061
361,1767,978,1770,1068,1581,1806,1242,2064
362,1767,972,1773,1068,1581,1812,1236,2058
363,1767,975,1764,1068,1581,1806,1239,2061
364,1764,978,1770,1065,1578,1812,1242,2061
365,1767,975,1767,1071,1581,1809,1239,2058
366,1770,978,1764,1071,1578,1809,1239,2058
367,1770,975,1767,1071,1578,1809,1239,2058
