timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
0,627,1590,1326,1089,2160,813,1515,957
1,603,1548,1290,1065,2106,780,1461,921
2,603,1563,1302,1074,2124,789,1476,927
3,600,1551,1293,1065,2112,780,1467,918
4,594,1551,1287,1062,2103,771,1455,909
5,594,1539,1281,1059,2103,771,1455,909
6,621,1593,1329,1095,2169,807,1512,942
7,597,1542,1287,1059,2100,774,1461,915
8,609,1578,1314,1080,2145,789,1497,936
9,597,1545,1284,1059,2097,777,1461,915
10,603,1554,1293,1065,2112,783,1473,924
11,600,1539,1281,1059,2091,780,1461,915
12,594,1542,1281,1056,2103,771,1452,912
13,597,1557,1290,1062,2112,777,1464,918
14,594,1551,1287,1059,2106,774,1461,912
15,594,1539,1275,1050,2091,774,1452,909
16,591,1539,1281,1056,2088,768,1455,909
17,582,1530,1269,1050,2076,762,1440,897
18,582,1524,1272,1047,2082,762,1434,891
19,597,1572,1302,1074,2133,780,1476,921
20,579,1527,1266,1044,2070,756,1437,894
21,579,1530,1263,1041,2070,753,1428,888
22,576,1524,1260,1044,2073,750,1428,888
23,582,1542,1275,1053,2091,759,1443,897
24,594,1575,1302,1074,2136,771,1476,915
25,576,1506,1245,1029,2037,747,1419,888
26,570,1512,1248,1029,2052,741,1410,876
27,564,1536,1266,1047,2085,738,1419,873
28,534,1482,1212,996,1998,696,1347,828
29,537,1506,1227,1017,2034,702,1365,834
30,519,1473,1200,987,1992,678,1332,813
31,534,1536,1251,1032,2067,699,1374,834
32,525,1479,1206,993,1998,684,1344,816
33,531,1494,1221,1005,2022,696,1365,828
34,540,1746,1374,1005,2211,708,1389,837
35,561,1548,1266,1041,2091,732,1428,870
36,543,1500,1227,1011,2028,708,1386,840
37,528,1488,1218,999,2016,696,1362,825
38,540,1506,1233,1011,2034,702,1380,837
39,537,1503,1230,1011,2031,705,1380,837
40,549,1509,1233,1014,2037,714,1401,852
41,546,1545,1254,1038,2055,714,1398,846
42,540,1512,1233,1014,2043,708,1389,843
43,555,1530,1248,1029,2061,723,1410,861
44,549,1515,1239,1017,2043,717,1401,852
45,549,1509,1230,1008,2028,717,1392,852
46,573,1515,1236,1014,2106,750,1461,885
47,564,1548,1257,1035,2079,735,1428,873
48,537,1494,1215,999,2013,699,1368,834
49,558,1569,1269,996,2100,729,1428,867
50,537,1503,1221,1005,2016,699,1377,837
51,531,1503,1224,1005,2025,696,1371,828
52,552,1539,1245,1026,2064,723,1413,858
53,546,1515,1233,1014,2031,711,1395,846
54,549,1521,1233,1014,2040,717,1398,852
55,591,1605,1308,1071,2160,774,1503,912
56,555,1509,1230,1008,2019,723,1404,858
57,564,1557,1263,1044,2085,738,1437,879
58,540,1491,1215,999,2010,705,1377,837
59,555,1560,1260,1038,2079,729,1422,864
60,585,1599,1296,1047,2145,765,1482,900
61,585,1593,1290,1059,2133,762,1476,903
62,600,1611,1302,1074,2142,780,1506,921
63,600,1569,1275,1053,2088,774,1482,912
64,630,1605,1317,1056,2178,822,1572,963
65,570,1491,1215,1002,1992,744,1416,876
66,546,1497,1209,1002,1995,708,1374,843
67,528,1479,1194,987,1971,690,1335,816
68,522,1476,1191,987,1971,681,1338,810
69,516,1539,1236,1026,2034,675,1332,804
70,537,1545,1242,1023,2061,705,1389,843
71,582,1611,1308,1065,2154,756,1488,897
72,615,1644,1335,1101,2193,798,1545,945
