timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
0,36,243,474,114,855,45,171,66
1,39,264,519,111,945,51,204,78
2,45,285,519,129,975,57,219,84
3,42,282,516,126,954,57,219,84
4,45,291,525,126,972,60,231,87
5,48,306,549,132,1017,60,243,90
6,48,303,531,129,978,60,249,90
7,48,300,534,129,984,60,240,90
8,48,321,576,135,1041,66,258,99
9,54,327,576,135,1065,69,273,105
10,51,321,567,135,1038,69,267,102
11,54,330,567,138,1044,69,270,105
12,54,348,591,141,1095,72,282,108
13,57,342,585,141,1065,75,282,111
14,57,348,588,144,1065,72,282,111
15,57,351,588,144,1083,75,285,111
16,60,378,630,150,1134,81,309,114
17,66,393,642,156,1161,84,324,126
18,63,387,633,153,1158,81,318,123
19,0,171,300,75,522,3,126,12
20,57,423,696,159,1323,78,306,114
21,102,645,954,234,1680,135,510,201
22,3,651,0,234,0,0,0,0
23,396,1128,1620,396,2580,525,1533,717
24,684,1350,1884,492,2862,900,1959,1170
25,1008,1572,2085,606,3051,1293,2205,1584
26,1191,1677,2124,690,3075,1482,2205,1761
27,1275,1749,2157,756,3099,1566,2151,1815
28,687,1083,1347,486,1965,840,1140,999
29,309,672,867,291,1275,390,546,495
30,261,771,960,315,1446,321,456,432
31,225,801,1029,324,1536,282,408,378
32,210,813,1017,324,1569,261,390,363
33,507,1497,1851,585,2760,642,993,849
34,801,1575,1965,681,2781,1002,1470,1251
35,339,915,1104,375,1638,438,657,564
36,300,915,1101,378,1686,384,582,504
37,273,939,1137,369,1719,351,543,465
38,249,915,1113,363,1686,321,504,432
39,231,897,1086,351,1656,297,474,402
40,219,888,1068,342,1635,285,462,387
41,222,894,1077,342,1653,285,462,387
42,213,888,1065,339,1644,279,462,375
43,213,873,1050,333,1623,273,456,372
44,201,864,1047,324,1623,261,447,360
45,213,900,1068,339,1665,279,474,378
46,201,867,1032,327,1608,264,456,360
47,24,147,174,54,279,33,57,48
48,9,87,99,30,165,15,21,18
49,6,60,69,21,117,6,9,9
50,3,33,36,9,63,3,3,3
51,3,3,0,0,0,3,0,0
52,0,3,3,0,0,0,0,0
53,18,258,333,111,585,21,27,30
54,24,300,393,126,687,30,45,42
55,30,315,435,135,744,36,63,51
56,33,324,459,135,783,45,78,66
57,39,333,480,141,813,51,96,78
58,54,399,567,168,966,72,132,99
59,0,0,0,-3,0,0,0,0
60,0,3,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0
62,3,0,0,0,0,0,0,0
63,27,228,369,114,645,33,57,51
64,42,255,447,129,729,60,114,84
65,48,288,486,141,810,63,132,93
66,72,381,615,177,1020,93,192,135
67,78,366,606,165,1005,108,222,153
68,78,351,588,168,972,108,219,147
69,78,366,603,171,981,105,222,150
70,144,585,900,252,1485,192,411,273
71,132,513,798,228,1272,180,381,252
72,168,585,906,252,1476,228,477,306
73,204,669,990,285,1578,273,564,372
74,243,711,1044,300,1638,309,633,423
75,291,825,1176,342,1821,384,759,513
76,339,897,1245,369,1902,444,858,588
77,384,972,1311,396,2004,507,942,660
78,423,1023,1356,420,2046,552,996,714
79,453,1077,1386,438,2088,591,1032,759
80,480,1131,1422,462,2130,621,1062,795
81,486,1143,1407,465,2106,630,1056,801
82,480,1155,1398,471,2091,621,1026,792
83,474,1164,1383,477,2094,612,999,798
84,483,1191,1398,486,2109,615,999,798
85,474,1200,1410,492,2121,615,1002,780
86,471,1224,1404,498,2109,606,981,777
87,471,1230,1404,504,2127,612,987,777
88,474,1242,1410,510,2127,612,987,783
89,465,1224,1386,507,2100,603,969,765
90,468,1245,1401,516,2124,609,972,774
91,477,1272,1425,528,2166,618,987,789
92,489,1284,1431,540,2178,633,1017,804
93,501,1293,1440,546,2178,651,1038,822
94,513,1302,1446,552,2187,663,1053,834
95,516,1299,1443,558,2187,669,1053,843
96,525,1305,1443,561,2199,678,1065,849
97,528,1305,1446,567,2196,678,1068,855
98,513,1278,1416,561,2154,663,1038,834
99,516,1281,1425,564,2169,663,1038,834
100,513,1281,1419,567,2169,660,1041,834
101,513,1272,1413,570,2163,657,1029,831
102,510,1260,1410,567,2154,654,1026,828
103,507,1263,1404,570,2154,654,1026,825
104,495,1230,1377,561,2118,636,999,813
105,489,1236,1377,567,2124,630,990,798
106,483,1224,1371,561,2109,624,984,789
107,483,1230,1380,567,2121,621,987,789
108,480,1224,1374,564,2115,621,984,786
109,483,1224,1383,570,2118,618,987,789
110,474,1206,1356,561,2097,612,972,777
111,468,1197,1347,558,2082,606,966,765
112,453,1176,1329,552,2052,588,942,744
113,411,1083,1221,507,1896,537,837,687
114,426,1146,1293,543,2007,561,909,720
115,444,1185,1338,552,2085,576,933,738
116,480,1230,1389,576,2163,621,1005,789
117,504,1257,1419,594,2205,657,1062,828
118,510,1236,1404,591,2169,660,1059,825
119,522,1254,1419,597,2193,678,1083,855
120,549,1278,1449,618,2241,708,1128,891
121,564,1275,1443,621,2229,726,1146,912
122,582,1299,1476,630,2283,753,1179,939
123,585,1284,1461,636,2241,756,1176,939
124,597,1272,1476,639,2277,768,1197,954
125,585,1272,1434,639,2217,753,1158,927
126,564,1248,1413,633,2190,723,1116,903
127,561,1245,1416,636,2196,726,1122,906
128,570,1266,1443,645,2235,729,1134,909
129,561,1245,1422,642,2211,723,1116,903
130,558,1233,1407,639,2187,717,1107,894
