timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
0,1665,966,1962,780,1758,2007,1527,2247
1,1671,966,1962,783,1755,2010,1527,2241
2,1671,969,1962,780,1758,2007,1527,2241
3,1665,966,1965,786,1758,2013,1530,2250
4,1671,969,1965,780,1758,2010,1530,2250
5,1668,969,1965,783,1764,2016,1530,2247
6,1668,972,1965,783,1767,2010,1530,2247
7,1665,972,1965,783,1767,2010,1533,2247
8,1665,969,1968,783,1767,2016,1533,2253
9,1668,972,1965,786,1767,2016,1533,2253
10,1671,972,1968,786,1770,2016,1536,2253
11,1668,972,1965,789,1770,2019,1536,2250
12,1671,972,1968,786,1773,2022,1536,2256
13,1671,972,1968,789,1773,2022,1536,2253
14,1674,972,1968,789,1773,2019,1536,2253
15,1680,972,1968,789,1776,2016,1539,2256
16,1674,972,1965,789,1773,2016,1539,2256
17,1680,972,1968,792,1776,2022,1536,2256
18,1680,969,1968,789,1776,2022,1539,2259
19,1677,972,1971,792,1776,2022,1539,2259
20,1677,972,1968,792,1773,2019,1542,2262
21,1677,975,1974,792,1779,2022,1542,2259
22,1680,972,1971,795,1779,2019,1545,2262
23,1683,972,1974,792,1779,2022,1545,2262
24,1683,975,1968,795,1779,2028,1542,2262
25,1689,975,1974,792,1782,2028,1551,2265
26,1707,975,1971,786,1809,2064,1572,2283
27,1713,972,1971,789,1806,2061,1575,2283
28,1710,972,1971,786,1806,2058,1572,2283
29,1713,972,1974,786,1800,2064,1575,2283
30,1713,972,1974,789,1806,2073,1578,2286
31,1716,972,1971,789,1803,2067,1575,2283
32,1710,969,1971,789,1800,2061,1572,2286
33,1707,972,1968,789,1800,2064,1572,2280
34,1701,969,1965,786,1794,2055,1569,2271
35,1701,969,1965,783,1794,2055,1560,2271
36,1695,966,1965,786,1794,2052,1563,2268
37,1707,969,1974,783,1800,2052,1563,2271
38,1704,969,1968,783,1797,2049,1566,2265
39,1701,969,1968,786,1803,2055,1566,2280
40,1698,969,1968,783,1794,2055,1566,2268
41,1698,969,1971,783,1800,2052,1566,2274
42,1698,969,1965,783,1800,2055,1560,2268
43,1701,969,1968,786,1803,2052,1563,2271
44,1701,966,1965,786,1803,2055,1566,2271
45,1701,969,1968,786,1800,2049,1566,2271
46,1695,969,1962,786,1800,2052,1566,2265
47,1686,960,1950,774,1785,2028,1545,2247
48,1686,966,1962,780,1794,2037,1551,2259
49,1683,969,1965,780,1797,2037,1551,2259
50,1680,966,1962,777,1791,2028,1545,2253
51,1680,969,1962,777,1797,2031,1545,2253
52,1680,966,1965,777,1803,2031,1548,2247
53,1677,966,1962,777,1800,2031,1551,2250
54,1671,966,1959,774,1800,2022,1539,2241
55,1668,966,1959,771,1794,2013,1539,2238
56,1671,963,1956,774,1800,2016,1542,2232
57,1668,969,1962,774,1800,2013,1536,2235
58,1665,966,1962,771,1800,2016,1536,2232
59,1668,969,1959,774,1809,2022,1542,2238
60,1662,966,1959,771,1803,2016,1536,2226
61,1665,966,1962,774,1809,2016,1545,2235
62,1665,969,1956,771,1806,2016,1542,2232
63,1665,969,1956,774,1809,2016,1542,2232
64,1665,969,1959,777,1815,2016,1551,2238
65,1662,969,1956,771,1812,2022,1542,2232
66,1662,966,1956,774,1809,2013,1539,2235
67,1662,972,1959,774,1818,2019,1545,2238
68,1662,972,1959,774,1815,2010,1542,2229
69,1668,972,1962,777,1812,2016,1545,2235
70,1668,972,1962,777,1818,2022,1551,2244
71,1665,969,1959,774,1818,2022,1545,2235
72,1668,969,1953,777,1815,2016,1545,2235
73,1671,975,1962,780,1818,2022,1554,2247
74,1680,975,1962,780,1821,2031,1557,2250
75,1677,975,1965,783,1824,2040,1563,2256
76,1683,972,1959,783,1824,2037,1563,2259
77,1680,972,1956,780,1818,2034,1560,2253
78,1677,966,1956,780,1815,2028,1554,2241
79,1674,969,1956,780,1812,2028,1551,2244
80,1677,966,1953,777,1815,2028,1548,2241
81,1671,966,1956,777,1812,2025,1551,2244
82,1668,966,1953,780,1812,2025,1548,2241
83,1674,969,1959,780,1818,2028,1554,2244
84,1671,969,1959,777,1812,2016,1548,2241
85,1677,966,1956,780,1812,2019,1554,2235
86,1671,969,1953,780,1812,2025,1548,2241
87,1680,969,1959,783,1818,2028,1557,2241
88,1674,966,1956,780,1812,2019,1548,2247
89,1671,969,1953,780,1812,2025,1551,2241
90,1674,969,1953,783,1815,2025,1551,2241
91,1677,969,1956,780,1815,2034,1557,2253
92,1680,966,1959,780,1812,2031,1551,2256
93,1677,966,1956,783,1818,2031,1554,2250
94,1674,966,1959,783,1818,2037,1557,2250
95,1680,966,1959,783,1812,2028,1560,2250
96,1686,969,1956,783,1818,2037,1560,2250
97,1677,966,1956,783,1812,2037,1557,2247
98,1680,969,1956,786,1818,2037,1557,2253
99,1683,966,1959,786,1809,2034,1557,2256
100,1686,969,1959,786,1815,2040,1563,2259
101,1680,966,1956,786,1815,2037,1560,2256
102,1689,966,1956,786,1812,2037,1566,2262
103,1686,966,1956,786,1815,2040,1563,2256
104,1689,966,1959,786,1812,2043,1563,2253
105,1683,963,1956,786,1809,2040,1560,2256
106,1689,969,1956,786,1809,2034,1557,2253
107,1689,966,1953,786,1812,2037,1560,2253
108,1689,966,1956,789,1812,2037,1563,2259
109,1686,963,1956,789,1809,2034,1554,2259
110,1689,966,1959,786,1809,2037,1563,2250
111,1683,963,1956,783,1809,2040,1560,2253
112,1677,963,1959,783,1806,2031,1557,2256
113,1686,963,1953,783,1806,2031,1557,2247
114,1683,963,1959,783,1809,2031,1554,2250
115,1686,966,1956,783,1803,2031,1554,2250
116,1686,963,1956,786,1812,2031,1554,2250
117,1683,966,1953,783,1806,2037,1557,2244
118,1686,963,1953,786,1806,2034,1557,2250
119,1680,963,1956,783,1809,2037,1557,2247
120,1689,963,1953,786,1803,2034,1560,2247
121,1686,966,1953,786,1806,2040,1560,2256
122,1683,960,1953,786,1809,2031,1554,2250
123,1692,966,1962,789,1818,2046,1563,2265
124,1683,960,1950,786,1803,2031,1557,2250
125,1683,960,1950,786,1800,2031,1551,2244
126,1680,960,1953,783,1800,2025,1545,2238
127,1674,957,1947,783,1800,2022,1548,2238
128,1677,960,1953,783,1803,2025,1551,2241
129,1677,963,1953,783,1803,2025,1548,2241
130,1683,957,1950,786,1806,2031,1551,2247
131,1668,960,1953,783,1803,2028,1548,2241
132,1674,960,1950,783,1806,2025,1542,2244
133,1677,957,1950,783,1803,2025,1554,2244
134,1674,960,1953,786,1803,2025,1548,2241
135,1674,960,1950,786,1806,2025,1548,2244
136,1674,960,1950,783,1806,2025,1554,2247
137,1677,960,1947,786,1803,2031,1551,2241
138,1674,957,1950,780,1806,2025,1548,2247
139,1677,957,1953,786,1803,2028,1551,2238
140,1680,957,1953,789,1809,2028,1554,2256
141,1680,960,1950,783,1806,2028,1554,2247
142,1683,960,1950,786,1806,2034,1560,2250
143,1686,963,1953,786,1806,2040,1560,2256
144,1689,963,1950,789,1809,2043,1560,2256
145,1689,963,1950,786,1806,2040,1566,2259
146,1692,963,1953,789,1809,2040,1566,2256
147,1695,963,1953,789,1803,2040,1560,2259
148,1689,963,1950,789,1803,2040,1560,2256
149,1689,960,1950,789,1806,2034,1569,2259
150,1692,960,1956,789,1806,2040,1566,2259
151,1695,957,1950,789,1803,2037,1563,2256
152,1701,957,1953,792,1803,2046,1569,2262
153,1689,960,1950,792,1800,2040,1563,2256
154,1692,957,1950,789,1800,2037,1557,2256
155,1689,954,1947,789,1794,2034,1557,2247
156,1686,957,1944,789,1794,2025,1551,2244
157,1680,957,1950,786,1800,2028,1554,2253
158,1683,957,1950,786,1800,2034,1557,2250
159,1680,957,1950,786,1797,2037,1554,2250
160,1677,954,1941,786,1794,2022,1545,2241
161,1674,954,1938,783,1791,2019,1542,2235
162,1671,954,1944,783,1791,2019,1542,2235
163,1671,954,1941,780,1791,2010,1539,2229
164,1668,951,1941,780,1797,2010,1542,2226
165,1665,954,1947,783,1797,2019,1539,2229
166,1668,954,1947,783,1800,2013,1542,2232
167,1665,954,1947,783,1800,2010,1539,2226
168,1662,957,1947,780,1800,2010,1539,2229
169,1668,957,1947,780,1797,2016,1545,2232
170,1662,957,1947,780,1800,2007,1545,2235
171,1662,954,1944,783,1803,2004,1545,2235
172,1668,957,1941,780,1803,2007,1542,2229
173,1668,957,1944,783,1800,2010,1539,2229
174,1665,954,1944,780,1803,2013,1542,2241
175,1668,957,1947,783,1806,2016,1545,2232
176,1665,954,1944,783,1803,2016,1545,2229
177,1665,957,1941,783,1809,2013,1548,2235
178,1668,954,1941,783,1800,2013,1545,2232
179,1665,957,1947,783,1803,2010,1542,2235
180,1671,960,1941,783,1806,2010,1542,2232
181,1665,957,1944,786,1806,2013,1545,2232
182,1665,954,1944,783,1803,2016,1545,2232
183,1659,957,1944,780,1803,2010,1545,2232
184,1662,957,1944,786,1809,2019,1548,2235
185,1668,957,1947,786,1806,2016,1548,2235
186,1662,954,1938,783,1797,2010,1539,2223
187,1662,954,1944,780,1803,2010,1539,2229
188,1662,954,1938,783,1803,2007,1539,2217
189,1650,954,1938,780,1803,1995,1533,2220
190,1653,954,1941,777,1800,2004,1536,2214
191,1653,957,1938,777,1803,1998,1533,2211
192,1656,957,1944,780,1809,1998,1530,2220
193,1656,957,1944,780,1809,2001,1539,2217
194,1659,957,1947,783,1812,2013,1542,2229
195,1665,960,1947,783,1815,2007,1545,2232
196,1659,957,1947,786,1815,2010,1548,2229
197,1665,957,1944,786,1815,2010,1548,2229
198,1665,960,1941,786,1815,2016,1554,2235
199,1668,957,1944,786,1818,2016,1551,2235
200,1671,957,1944,786,1812,2013,1551,2232
201,1671,957,1947,786,1815,2010,1554,2238
202,1665,957,1947,783,1809,2016,1548,2238
203,1674,957,1944,783,1812,2016,1557,2232
204,1671,957,1941,789,1812,2016,1551,2232
205,1665,960,1941,789,1815,2022,1551,2241
206,1674,960,1944,789,1809,2016,1551,2241
207,1671,957,1938,786,1812,2013,1548,2232
208,1665,957,1944,786,1809,2013,1545,2235
209,1665,954,1938,786,1809,2013,1548,2226
210,1671,957,1941,789,1812,2010,1548,2232
211,1665,954,1941,786,1809,2001,1545,2226
212,1665,957,1944,786,1806,2013,1545,2226
213,1668,954,1941,786,1809,2010,1545,2229
214,1668,957,1938,786,1806,2010,1545,2229
215,1662,957,1944,783,1806,2010,1545,2229
216,1662,954,1941,786,1809,2010,1545,2232
217,1662,957,1941,783,1809,2010,1545,2229
218,1662,957,1941,786,1809,2016,1545,2226
219,1668,954,1944,789,1812,2010,1548,2232
220,1662,957,1944,786,1815,2010,1545,2226
221,1668,957,1944,786,1809,2004,1551,2229
222,1668,957,1944,789,1812,2016,1548,2232
223,1668,957,1944,789,1812,2013,1551,2232
224,1668,957,1941,789,1809,2013,1548,2226
225,1665,957,1938,786,1812,2016,1548,2235
226,1668,954,1941,789,1812,2016,1551,2232
227,1668,960,1941,789,1812,2013,1548,2229
228,1665,954,1941,789,1812,2007,1548,2232
229,1662,954,1941,789,1812,2013,1545,2232
230,1665,957,1941,789,1812,2016,1551,2235
231,1668,954,1944,789,1812,2016,1551,2238
232,1674,954,1944,789,1812,2022,1548,2238
233,1671,954,1941,789,1815,2019,1554,2235
234,1674,957,1938,789,1815,2019,1551,2238
235,1674,957,1941,792,1809,2019,1548,2235
236,1674,957,1941,795,1812,2022,1551,2238
237,1671,957,1941,789,1815,2025,1548,2241
238,1674,954,1941,792,1812,2019,1554,2235
239,1677,957,1938,792,1809,2019,1554,2235
240,1674,957,1941,792,1812,2019,1551,2241
241,1671,954,1941,792,1809,2019,1554,2238
242,1674,951,1944,792,1809,2016,1557,2235
243,1671,954,1941,792,1809,2016,1551,2238
244,1668,954,1938,792,1812,2013,1548,2232
245,1665,954,1941,789,1809,2016,1551,2235
246,1671,954,1941,789,1809,2013,1548,2232
247,1671,954,1941,789,1809,2013,1548,2232
248,1668,954,1944,792,1812,2016,1548,2232
249,1668,954,1941,789,1809,2013,1548,2235
250,1671,954,1944,792,1812,2016,1551,2235
251,1671,957,1944,792,1815,2022,1557,2241
252,1680,954,1944,792,1815,2022,1560,2241
253,1677,954,1941,792,1815,2022,1554,2247
254,1677,954,1941,789,1812,2019,1554,2238
255,1674,951,1941,792,1809,2019,1554,2235
256,1671,951,1941,792,1809,2016,1551,2238
257,1671,954,1941,792,1812,2022,1551,2235
258,1677,954,1941,792,1809,2016,1551,2235
259,1674,954,1941,789,1809,2022,1554,2244
260,1677,954,1938,792,1812,2019,1554,2235
261,1674,951,1944,792,1812,2013,1554,2238
262,1509,870,1779,726,1650,1824,1389,2037
263,1548,927,1917,753,1758,1875,1419,2103
264,1557,942,1929,756,1785,1893,1446,2115
265,1494,894,1833,717,1734,1818,1395,2031
266,1575,957,1953,762,1827,1911,1473,2139
267,1590,954,1935,762,1833,1929,1497,2145
268,1560,942,1911,756,1812,1899,1467,2115
269,1608,966,1956,774,1860,1953,1521,2172
270,1632,969,1953,780,1866,1977,1542,2196
271,1647,969,1950,786,1872,1998,1557,2217
272,1662,969,1947,789,1869,2007,1569,2229
273,1668,966,1947,795,1863,2019,1572,2235
274,1677,969,1947,795,1860,2025,1581,2250
275,1680,966,1950,801,1860,2037,1581,2253
276,1689,966,1947,801,1851,2034,1581,2262
277,1695,969,1950,804,1854,2046,1584,2262
278,1698,966,1950,807,1851,2049,1593,2271
279,1704,963,1950,804,1848,2052,1590,2271
280,1707,966,1953,810,1845,2055,1596,2283
281,1713,966,1950,810,1839,2067,1599,2286
282,1719,963,1947,816,1842,2067,1596,2289
283,1722,963,1953,816,1833,2076,1602,2295
284,1725,960,1944,816,1830,2076,1602,2292
285,1731,963,1953,819,1824,2076,1605,2301
286,1731,960,1950,816,1824,2085,1599,2298
287,1734,960,1950,816,1821,2082,1599,2301
288,1734,960,1953,819,1818,2088,1596,2304
289,1731,960,1950,819,1815,2085,1602,2304
290,1737,954,1953,816,1812,2085,1599,2301
291,1731,954,1953,816,1809,2082,1599,2301
292,1734,954,1953,819,1803,2085,1599,2301
293,1737,954,1950,816,1803,2082,1599,2295
294,1740,954,1953,816,1800,2088,1599,2307
295,1740,951,1953,816,1800,2088,1599,2298
296,1740,951,1956,819,1800,2085,1593,2304
297,1743,951,1950,819,1794,2091,1599,2310
298,1746,951,1956,816,1794,2088,1602,2307
299,1746,951,1953,819,1788,2091,1602,2307
300,1749,948,1953,819,1788,2097,1599,2310
301,1752,948,1950,816,1785,2088,1602,2310
302,1746,948,1953,816,1788,2094,1596,2313
303,1752,948,1956,819,1785,2091,1599,2310
304,1749,948,1953,816,1779,2091,1599,2307
305,1746,948,1953,813,1779,2091,1599,2307
306,1746,945,1953,816,1776,2091,1596,2310
307,1746,945,1956,816,1776,2088,1599,2310
308,1746,945,1956,813,1779,2085,1599,2304
309,1746,948,1956,813,1776,2088,1596,2304
310,1746,945,1950,816,1773,2088,1596,2310
311,1746,945,1950,813,1770,2085,1599,2301
312,1749,948,1953,813,1767,2088,1593,2310
313,1743,945,1956,813,1770,2088,1593,2304
314,1746,948,1953,816,1770,2085,1596,2310
315,1746,942,1953,813,1767,2091,1596,2310
316,1746,945,1953,813,1767,2091,1590,2310
317,1740,945,1956,810,1764,2082,1587,2301
318,1743,942,1956,807,1764,2079,1587,2301
319,1737,942,1953,810,1764,2079,1584,2298
320,1743,945,1953,807,1767,2085,1590,2301
321,1746,945,1953,810,1767,2088,1590,2310
322,1740,945,1956,807,1767,2082,1590,2307
323,1743,945,1959,810,1761,2082,1590,2313
324,1755,951,1968,816,1770,2100,1599,2316
325,1752,948,1965,813,1767,2097,1599,2316
326,1746,942,1956,813,1764,2094,1593,2310
327,1743,945,1956,810,1758,2091,1590,2310
328,1740,948,1950,810,1755,2088,1584,2304
329,1740,942,1956,807,1758,2085,1584,2304
330,1737,945,1950,807,1752,2076,1581,2301
331,1737,942,1950,807,1752,2082,1575,2301
332,1731,942,1956,807,1752,2076,1575,2295
333,1749,948,1968,810,1767,2088,1587,2310
334,1737,942,1953,807,1755,2076,1578,2298
335,1740,948,1962,807,1758,2088,1587,2307
336,1740,945,1956,810,1761,2085,1584,2307
337,1740,945,1956,804,1755,2082,1581,2307
338,1746,948,1962,810,1761,2085,1593,2310
339,1743,945,1956,807,1755,2082,1584,2304
340,1746,945,1962,807,1758,2085,1590,2301
341,1749,948,1965,807,1758,2088,1596,2316
342,1752,945,1959,807,1755,2097,1593,2313
343,1749,948,1959,807,1755,2094,1590,2313
344,1755,948,1959,810,1752,2097,1599,2319
345,1755,945,1962,807,1752,2100,1593,2319
346,1749,948,1959,807,1749,2094,1593,2313
347,1752,945,1959,807,1752,2091,1590,2316
348,1752,945,1959,804,1752,2091,1584,2313
349,1743,945,1959,804,1749,2082,1581,2310
350,1746,945,1959,804,1749,2082,1581,2310
351,1743,945,1956,807,1746,2079,1581,2310
352,1737,945,1959,804,1749,2088,1578,2304
353,1740,945,1956,801,1749,2082,1581,2307
354,1740,948,1959,804,1749,2085,1584,2310
355,1743,948,1956,804,1749,2085,1584,2304
356,1746,945,1962,804,1749,2085,1581,2307
357,1740,945,1956,804,1752,2085,1581,2310
358,1740,945,1959,804,1746,2082,1584,2316
359,1749,945,1953,804,1746,2082,1587,2304
360,1737,948,1959,801,1743,2079,1581,2304
361,1743,948,1962,804,1749,2091,1581,2310
362,1746,948,1962,804,1743,2085,1584,2310
363,1743,945,1959,804,1743,2085,1578,2307
364,1740,945,1959,804,1746,2079,1581,2304
365,1740,945,1959,801,1743,2082,1578,2313
366,1737,948,1956,801,1746,2082,1575,2304
367,1740,945,1959,801,1746,2073,1575,2304
368,1737,945,1962,801,1746,2082,1575,2307
369,1728,948,1962,801,1740,2073,1575,2304
370,1734,948,1959,801,1743,2073,1572,2295
371,1731,948,1956,801,1743,2067,1572,2298
372,1728,948,1956,798,1740,2070,1572,2295
373,1728,948,1956,795,1743,2067,1566,2292
374,1731,948,1959,798,1746,2067,1569,2298
375,1734,945,1959,798,1746,2070,1569,2301
376,1731,948,1959,798,1743,2070,1569,2298
377,1731,948,1962,801,1746,2079,1578,2307
