timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
0,1581,975,1968,762,1839,1923,1488,2169
1,1632,999,1995,783,1872,1980,1545,2229
2,1656,996,1992,792,1875,2013,1566,2253
3,1665,996,1977,795,1863,2013,1569,2253
4,1680,993,1983,801,1866,2031,1578,2274
5,1692,993,1983,807,1863,2043,1584,2280
6,1704,993,1980,810,1857,2055,1593,2292
7,1710,993,1980,813,1854,2067,1590,2298
8,1719,990,1980,816,1851,2070,1596,2301
9,1713,987,1977,816,1839,2061,1587,2298
10,1713,984,1977,816,1830,2067,1590,2295
11,1722,984,1980,819,1830,2076,1593,2307
12,1719,981,1974,819,1824,2070,1590,2307
13,1722,981,1974,819,1818,2070,1581,2304
14,1722,978,1977,819,1818,2067,1584,2304
15,1722,981,1977,822,1812,2076,1587,2304
16,1725,981,1977,822,1815,2070,1587,2307
17,1725,978,1974,822,1809,2076,1587,2310
18,1731,981,1977,825,1806,2076,1584,2304
19,1731,978,1977,822,1803,2076,1590,2310
20,1734,978,1980,825,1803,2079,1593,2313
21,1728,978,1977,825,1797,2079,1590,2316
22,1734,975,1974,822,1797,2082,1590,2319
23,1731,972,1977,822,1797,2079,1584,2313
24,1734,972,1977,822,1794,2076,1593,2307
25,1734,972,1977,822,1791,2076,1584,2313
26,1737,972,1977,822,1794,2082,1584,2316
27,1734,975,1980,822,1794,2082,1587,2313
28,1734,972,1980,822,1794,2079,1587,2310
29,1734,972,1977,822,1788,2076,1584,2313
30,1737,972,1980,822,1788,2079,1587,2310
31,1737,972,1983,819,1788,2079,1584,2310
32,1737,972,1980,822,1785,2079,1587,2313
33,1737,972,1980,822,1785,2076,1584,2313
34,1728,966,1974,819,1779,2070,1572,2304
35,1728,966,1971,816,1779,2067,1566,2301
36,1722,966,1974,816,1776,2061,1569,2295
37,1725,966,1977,816,1779,2058,1566,2289
38,1716,966,1971,816,1776,2052,1563,2286
39,1713,966,1974,813,1776,2049,1560,2283
40,1716,966,1974,813,1779,2055,1560,2283
41,1713,969,1974,813,1779,2052,1560,2289
42,1710,966,1974,813,1776,2043,1554,2283
43,1704,969,1974,810,1776,2037,1554,2274
44,1701,966,1974,810,1779,2037,1551,2271
45,1701,969,1977,813,1782,2046,1554,2277
46,1701,966,1980,810,1782,2043,1554,2277
47,1704,966,1977,810,1785,2043,1557,2277
48,1707,969,1974,810,1785,2046,1557,2280
49,1704,969,1977,810,1785,2046,1560,2277
50,1701,969,1974,810,1785,2043,1557,2277
51,1707,966,1980,813,1788,2049,1560,2280
52,1707,969,1980,816,1788,2052,1563,2286
53,1713,966,1974,813,1788,2052,1569,2286
54,1713,969,1977,813,1791,2052,1563,2286
55,1719,966,1980,813,1788,2055,1569,2289
56,1716,966,1977,816,1788,2055,1566,2286
57,1707,966,1974,813,1788,2046,1563,2280
58,1710,969,1977,813,1785,2049,1563,2286
59,1710,969,1977,813,1794,2046,1563,2283
60,1713,969,1983,813,1791,2049,1566,2289
61,1713,966,1980,816,1791,2055,1566,2286
62,1716,966,1977,816,1791,2052,1566,2286
63,1713,969,1980,816,1794,2055,1563,2286
64,1719,972,1983,819,1797,2061,1572,2292
65,1725,972,1980,819,1797,2064,1581,2304
66,1728,969,1986,819,1797,2070,1578,2301
67,1725,972,1983,822,1794,2070,1578,2301
68,1728,969,1983,822,1794,2073,1578,2301
69,1731,972,1980,822,1794,2067,1575,2301
70,1728,972,1980,822,1794,2067,1581,2298
71,1728,969,1983,822,1791,2067,1578,2301
72,1731,969,1980,822,1794,2070,1581,2301
73,1731,966,1980,822,1794,2067,1578,2304
74,1728,969,1983,822,1791,2064,1572,2304
75,1734,969,1983,822,1791,2067,1578,2301
76,1731,969,1983,822,1791,2064,1578,2292
77,1728,966,1983,825,1791,2067,1575,2301
78,1731,969,1986,822,1791,2067,1575,2301
79,1731,969,1983,822,1791,2064,1575,2301
80,1728,969,1983,822,1794,2064,1578,2301
81,1728,969,1986,822,1788,2070,1578,2307
82,1731,972,1983,822,1791,2070,1581,2307
83,1731,969,1983,825,1791,2067,1575,2301
84,1731,969,1980,825,1788,2073,1575,2304
85,1731,969,1983,825,1791,2070,1572,2304
86,1734,969,1986,825,1791,2067,1578,2310
87,1740,972,1989,828,1797,2088,1587,2313
88,1737,969,1983,825,1788,2076,1584,2307
89,1734,969,1980,825,1791,2076,1581,2304
90,1731,969,1986,825,1788,2067,1572,2298
91,1734,969,1977,822,1785,2067,1572,2298
92,1728,966,1983,822,1782,2061,1572,2301
93,1728,969,1986,822,1785,2073,1572,2298
94,1731,966,1983,822,1788,2064,1569,2295
95,1731,969,1983,825,1788,2064,1572,2298
96,1734,966,1980,825,1785,2064,1578,2304
97,1731,966,1983,822,1788,2070,1575,2307
98,1734,966,1983,825,1785,2064,1575,2304
99,1728,969,1983,822,1788,2061,1572,2298
100,1728,966,1980,825,1788,2061,1572,2295
101,1725,969,1986,822,1782,2064,1569,2295
102,1725,969,1983,822,1788,2064,1569,2289
103,1728,969,1983,822,1788,2058,1569,2295
104,1731,969,1983,825,1788,2061,1572,2292
105,1728,966,1986,822,1785,2064,1569,2292
106,1728,969,1983,822,1788,2061,1572,2298
107,1728,969,1983,825,1788,2064,1569,2298
108,1731,969,1986,825,1791,2067,1572,2301
109,1731,972,1986,825,1791,2070,1575,2301
110,1734,969,1986,825,1788,2064,1575,2301
111,1737,969,1983,825,1791,2067,1575,2295
112,1734,969,1986,825,1788,2067,1575,2304
113,1737,969,1983,825,1788,2070,1575,2304
114,1737,969,1983,825,1788,2067,1578,2304
115,1737,969,1983,825,1788,2073,1575,2301
116,1734,969,1983,825,1788,2070,1578,2307
117,1740,969,1983,825,1788,2067,1575,2304
118,1734,969,1986,825,1788,2070,1575,2304
119,1737,969,1983,828,1788,2067,1575,2307
120,1737,969,1986,825,1788,2067,1578,2301
121,1737,969,1986,828,1788,2070,1578,2307
