timestamp,tgs2600,mq135,mq3,mq6,mq7,tgs2602,tgs2611,tgs2620
0,2148,1179,1758,1239,1908,2340,1968,2439
1,2127,1155,1743,1221,1860,2325,1944,2421
2,2115,1131,1731,1203,1812,2310,1920,2406
3,2094,1110,1716,1188,1761,2283,1890,2385
4,2073,1089,1704,1167,1716,2262,1860,2361
5,423,387,1257,288,1113,474,462,603
6,420,411,1314,306,1176,474,480,594
7,1980,1038,1668,1113,1602,2166,1752,2265
8,1944,1020,1650,1092,1563,2127,1719,2232
9,1926,1011,1650,1080,1545,2112,1698,2214
10,1920,1008,1650,1080,1536,2103,1692,2208
11,1920,1005,1644,1074,1524,2106,1689,2211
12,1917,996,1638,1068,1509,2103,1686,2208
13,1914,993,1635,1065,1500,2100,1683,2208
14,1908,984,1623,1062,1485,2100,1677,2199
15,1908,981,1617,1056,1476,2097,1674,2199
16,1905,975,1611,1050,1461,2094,1665,2196
17,1899,969,1602,1047,1449,2088,1656,2190
18,1887,960,1596,1041,1440,2082,1647,2184
19,1878,954,1590,1035,1425,2070,1635,2175
20,1866,948,1581,1026,1410,2055,1620,2163
21,1863,948,1584,1023,1407,2055,1617,2163
22,1869,945,1581,1023,1407,2064,1617,2169
23,1866,942,1575,1020,1395,2055,1614,2169
24,1743,879,1479,957,1305,1920,1500,2022
25,1776,915,1545,981,1347,1962,1518,2070
26,1773,915,1548,978,1347,1959,1512,2064
27,1767,915,1545,975,1344,1953,1509,2061
28,1764,912,1545,972,1344,1953,1509,2061
29,1761,912,1539,972,1341,1950,1506,2058
30,1755,912,1533,969,1338,1944,1503,2055
31,1761,912,1536,969,1335,1950,1506,2061
32,1737,900,1515,954,1320,1926,1488,2037
33,1737,903,1521,954,1320,1923,1479,2034
34,1743,903,1518,957,1323,1929,1482,2046
35,1545,837,1428,873,1209,1716,1293,1824
36,1500,843,1449,861,1212,1668,1236,1776
37,1479,855,1470,855,1221,1644,1221,1755
38,1449,855,1467,843,1221,1614,1203,1722
39,1437,864,1473,840,1233,1602,1200,1713
40,1428,867,1473,837,1239,1593,1200,1707
41,1440,879,1485,843,1260,1611,1218,1722
42,1449,882,1482,846,1269,1617,1236,1731
43,1449,888,1476,846,1281,1620,1239,1734
44,1452,888,1476,849,1287,1626,1248,1737
45,1437,885,1464,846,1281,1608,1239,1722
46,1434,888,1461,846,1287,1605,1233,1722
47,1428,888,1458,843,1290,1599,1233,1713
48,1425,891,1458,846,1296,1599,1236,1716
49,1413,888,1446,840,1290,1587,1224,1704
50,1386,879,1431,831,1278,1557,1197,1671
51,1374,879,1434,828,1278,1545,1191,1659
52,1377,888,1440,837,1290,1548,1194,1665
